6,0 33.329.664 100 333.296,0 341.744,0 254.240 343.392 25.757,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 29.366.336 100 293.663,0 256.560,0 254.400 343.168 42.774,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.878.912 100 318.789,0 341.792,0 254.432 343.808 38.500,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 34.216.864 100 342.168,0 342.288,0 340.512 343.360 661,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.835.872 100 318.358,0 341.664,0 254.592 343.328 38.409,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.835.136 100 318.351,0 341.760,0 254.080 343.584 38.440,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.622.400 100 316.224,0 341.680,0 255.040 343.456 39.549,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.976.864 100 319.768,0 341.744,0 254.496 343.328 37.903,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 32.132.224 100 321.322,0 341.648,0 254.592 343.968 36.926,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.969.888 100 319.698,0 341.728,0 254.976 343.552 37.950,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
4,0 17.829.536 100 178.295,0 174.576,0 172.448 225.024 11.159,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 18.051.680 100 180.516,0 180.448,0 178.304 183.936 862,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.433.824 100 174.338,0 174.272,0 173.408 175.584 482,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 17.918.720 100 179.187,0 179.088,0 177.536 182.976 828,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.413.792 100 174.137,0 174.160,0 172.768 175.456 546,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 20.815.840 100 208.158,0 208.064,0 206.048 211.040 1.026,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.413.600 100 174.136,0 174.112,0 173.152 175.488 500,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.415.328 100 174.153,0 174.240,0 172.704 175.712 606,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.420.896 100 174.209,0 174.192,0 172.832 175.712 544,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 32.383.744 100 323.837,0 341.648,0 254.816 343.360 35.126,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 32.054.432 100 320.544,0 341.632,0 254.944 343.328 37.391,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 32.755.840 100 327.558,0 342.032,0 254.400 344.320 32.537,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 30.692.000 100 306.920,0 341.600,0 254.656 343.552 42.601,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 25.090.208 100 250.902,0 254.672,0 181.408 343.424 66.890,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 27.440.864 100 274.408,0 255.808,0 182.432 343.232 64.482,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.422.208 100 174.222,0 174.192,0 173.280 175.424 482,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.408.576 100 174.085,0 174.096,0 173.056 175.488 500,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.429.376 100 174.293,0 174.256,0 173.344 175.808 522,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
7,0 17.419.008 100 174.190,0 174.192,0 173.248 175.712 482,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.522.880 100 315.228,0 341.536,0 254.464 343.904 40.027,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.759.872 100 317.598,0 341.728,0 254.720 343.712 38.861,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 34.198.752 100 341.987,0 341.968,0 340.224 343.488 676,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 34.189.728 100 341.897,0 341.888,0 340.224 343.904 669,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 28.600.416 100 286.004,0 256.112,0 253.824 343.200 41.378,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 30.312.096 100 303.121,0 341.120,0 254.432 343.456 43.177,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 30.155.680 100 301.556,0 340.896,0 254.816 343.328 43.150,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.694.816 100 316.948,0 341.504,0 254.080 343.296 39.210,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 27.908.960 100 279.089,0 256.208,0 254.304 343.392 38.339,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 32.743.424 100 327.434,0 341.840,0 254.528 343.392 32.465,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 31.007.136 100 310.071,0 341.488,0 254.400 343.520 42.008,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 32.381.344 100 323.813,0 341.616,0 254.880 343.104 35.034,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 31.867.552 100 318.675,0 341.552,0 254.688 343.296 38.399,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 29.118.432 100 291.184,0 256.608,0 254.784 343.808 42.409,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 32.026.912 100 320.269,0 341.440,0 254.624 343.392 37.341,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 33.784.128 100 337.841,0 341.968,0 255.712 343.616 18.472,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6,0 28.403.648 100 284.036,0 255.712,0 254.208 343.040 40.760,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
4,0 29.298.656 100 292.986,0 256.352,0 254.816 343.136 42.837,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
4,0 29.985.760 100 299.857,0 340.736,0 255.232 343.264 43.041,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 31.359.360 100 313.593,0 341.392,0 254.784 343.488 40.522,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5,0 28.343.008 100 283.430,0 256.208,0 254.048 343.616 40.329,0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
