0.7 1438432 1 1438432.0 1438432.0 1438432 1438432 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831584 1 2831584.0 2831584.0 2831584 2831584 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827584 1 2827584.0 2827584.0 2827584 2827584 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829888 1 2829888.0 2829888.0 2829888 2829888 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829728 1 2829728.0 2829728.0 2829728 2829728 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831072 1 2831072.0 2831072.0 2831072 2831072 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831008 1 2831008.0 2831008.0 2831008 2831008 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828416 1 2828416.0 2828416.0 2828416 2828416 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830432 1 2830432.0 2830432.0 2830432 2830432 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831744 1 2831744.0 2831744.0 2831744 2831744 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828768 1 2828768.0 2828768.0 2828768 2828768 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828416 1 2828416.0 2828416.0 2828416 2828416 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830816 1 2830816.0 2830816.0 2830816 2830816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831680 1 2831680.0 2831680.0 2831680 2831680 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829728 1 2829728.0 2829728.0 2829728 2829728 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829824 1 2829824.0 2829824.0 2829824 2829824 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829440 1 2829440.0 2829440.0 2829440 2829440 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829184 1 2829184.0 2829184.0 2829184 2829184 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831456 1 2831456.0 2831456.0 2831456 2831456 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829760 1 2829760.0 2829760.0 2829760 2829760 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829248 1 2829248.0 2829248.0 2829248 2829248 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829760 1 2829760.0 2829760.0 2829760 2829760 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826944 1 2826944.0 2826944.0 2826944 2826944 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831072 1 2831072.0 2831072.0 2831072 2831072 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831200 1 2831200.0 2831200.0 2831200 2831200 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827104 1 2827104.0 2827104.0 2827104 2827104 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829344 1 2829344.0 2829344.0 2829344 2829344 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828736 1 2828736.0 2828736.0 2828736 2828736 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831680 1 2831680.0 2831680.0 2831680 2831680 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830496 1 2830496.0 2830496.0 2830496 2830496 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829408 1 2829408.0 2829408.0 2829408 2829408 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2832576 1 2832576.0 2832576.0 2832576 2832576 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2831456 1 2831456.0 2831456.0 2831456 2831456 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830432 1 2830432.0 2830432.0 2830432 2830432 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827040 1 2827040.0 2827040.0 2827040 2827040 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2827232 1 2827232.0 2827232.0 2827232 2827232 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829664 1 2829664.0 2829664.0 2829664 2829664 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830944 1 2830944.0 2830944.0 2830944 2830944 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826816 1 2826816.0 2826816.0 2826816 2826816 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
0.7 1463488 1 1463488.0 1463488.0 1463488 1463488 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2828288 1 2828288.0 2828288.0 2828288 2828288 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2829920 1 2829920.0 2829920.0 2829920 2829920 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830400 1 2830400.0 2830400.0 2830400 2830400 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2826688 1 2826688.0 2826688.0 2826688 2826688 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
1.4 2830752 1 2830752.0 2830752.0 2830752 2830752 0.0 CUDA_KERNEL calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
