      0.0            67872          1      67872.0      67872.0      67872      67872          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68736          1      68736.0      68736.0      68736      68736          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67520          1      67520.0      67520.0      67520      67520          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67648          1      67648.0      67648.0      67648      67648          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67328          1      67328.0      67328.0      67328      67328          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            37376          1      37376.0      37376.0      37376      37376          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68128          1      68128.0      68128.0      68128      68128          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68096          1      68096.0      68096.0      68096      68096          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68064          1      68064.0      68064.0      68064      68064          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67360          1      67360.0      67360.0      67360      67360          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35424          1      35424.0      35424.0      35424      35424          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67392          1      67392.0      67392.0      67392      67392          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68480          1      68480.0      68480.0      68480      68480          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67296          1      67296.0      67296.0      67296      67296          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67360          1      67360.0      67360.0      67360      67360          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67296          1      67296.0      67296.0      67296      67296          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67200          1      67200.0      67200.0      67200      67200          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68352          1      68352.0      68352.0      68352      68352          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67264          1      67264.0      67264.0      67264      67264          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69024          1      69024.0      69024.0      69024      69024          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67456          1      67456.0      67456.0      67456      67456          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68992          1      68992.0      68992.0      68992      68992          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67776          1      67776.0      67776.0      67776      67776          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            35200          1      35200.0      35200.0      35200      35200          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69376          1      69376.0      69376.0      69376      69376          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69312          1      69312.0      69312.0      69312      69312          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68032          1      68032.0      68032.0      68032      68032          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67968          1      67968.0      67968.0      67968      67968          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68224          1      68224.0      68224.0      68224      68224          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67968          1      67968.0      67968.0      67968      67968          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69216          1      69216.0      69216.0      69216      69216          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68000          1      68000.0      68000.0      68000      68000          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            69344          1      69344.0      69344.0      69344      69344          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68800          1      68800.0      68800.0      68800      68800          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68800          1      68800.0      68800.0      68800      68800          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68512          1      68512.0      68512.0      68512      68512          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67872          1      67872.0      67872.0      67872      67872          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67744          1      67744.0      67744.0      67744      67744          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68160          1      68160.0      68160.0      68160      68160          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67200          1      67200.0      67200.0      67200      67200          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68480          1      68480.0      68480.0      68480      68480          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            68832          1      68832.0      68832.0      68832      68832          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
      0.0            67360          1      67360.0      67360.0      67360      67360          0.0  CUDA_KERNEL  calculate_temp(int, float *, float *, float *, int, int, int, int, float, float, float, float, floa…
