46,0 931.020.896 10 93.102.089,0 91.957.088,0 86.949.440 100.525.280 4.043.108,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.024.271.616 10 102.427.161,0 93.798.928,0 86.664.928 156.836.160 22.297.999,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.162.784 10 95.116.278,0 92.660.768,0 86.907.904 116.576.704 8.186.557,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 972.441.216 10 97.244.121,0 92.939.936,0 87.006.784 136.904.128 14.291.229,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.020.480 10 93.402.048,0 92.147.792,0 86.968.128 99.883.456 3.945.177,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 989.902.304 10 98.990.230,0 93.804.384,0 86.897.152 150.676.768 18.492.688,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 986.527.936 10 98.652.793,0 92.524.736,0 86.668.160 145.873.472 17.153.205,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.015.534.208 10 101.553.420,0 93.828.832,0 86.764.960 159.148.096 21.466.769,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 952.056.384 10 95.205.638,0 92.294.208,0 86.902.688 120.391.424 9.334.620,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 930.035.904 10 93.003.590,0 92.134.656,0 86.897.312 98.834.976 3.676.231,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 969.283.616 10 96.928.361,0 92.887.296,0 86.773.344 133.763.456 13.345.633,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.020.534.752 10 102.053.475,0 92.476.240,0 86.920.288 175.125.088 26.187.177,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.314.908.096 10 131.490.809,0 114.268.320,0 95.635.712 180.936.480 34.824.073,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 934.481.952 10 93.448.195,0 92.328.832,0 86.834.432 100.475.776 4.076.677,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 951.732.960 10 95.173.296,0 92.274.304,0 86.955.264 120.045.696 9.258.934,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
48,0 1.008.622.848 10 100.862.284,0 94.677.936,0 87.010.336 144.909.312 16.963.492,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 936.785.792 10 93.678.579,0 92.371.056,0 86.690.592 102.919.680 4.589.945,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 927.002.208 10 92.700.220,0 91.955.936,0 86.857.632 100.048.448 3.536.385,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
47,0 1.143.975.072 10 114.397.507,0 97.125.664,0 86.854.048 175.108.192 33.030.339,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 966.428.256 10 96.642.825,0 93.359.344,0 86.815.744 129.977.344 12.153.223,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 932.732.288 10 93.273.228,0 92.219.824,0 86.861.472 101.615.232 4.198.383,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 1.006.562.720 10 100.656.272,0 93.065.232,0 86.830.400 151.553.984 19.240.055,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.563.424 10 95.856.342,0 92.440.368,0 86.838.272 126.085.600 11.056.254,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
46,0 958.140.224 10 95.814.022,0 92.253.696,0 86.824.384 127.838.144 11.646.537,0 CUDA_KERNEL IMGVF_kernel(float **, float **, int *, int *, float, float, float, int, float)
