0,0 4.432.096 1 4.432.096,0 4.432.096,0 4.432.096 4.432.096 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.072 1 4.535.072,0 4.535.072,0 4.535.072 4.535.072 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.393.056 1 4.393.056,0 4.393.056,0 4.393.056 4.393.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.648 1 4.535.648,0 4.535.648,0 4.535.648 4.535.648 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.993.952 1 2.993.952,0 2.993.952,0 2.993.952 2.993.952 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.539.328 1 4.539.328,0 4.539.328,0 4.539.328 4.539.328 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.568 1 4.533.568,0 4.533.568,0 4.533.568 4.533.568 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.344 1 4.537.344,0 4.537.344,0 4.537.344 4.537.344 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.989.504 1 2.989.504,0 2.989.504,0 2.989.504 2.989.504 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.015.776 1 3.015.776,0 3.015.776,0 3.015.776 3.015.776 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.535.680 1 4.535.680,0 4.535.680,0 4.535.680 4.535.680 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.256 1 4.536.256,0 4.536.256,0 4.536.256 4.536.256 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.532.320 1 4.532.320,0 4.532.320,0 4.532.320 4.532.320 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.208 1 4.534.208,0 4.534.208,0 4.534.208 4.534.208 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.537.056 1 4.537.056,0 4.537.056,0 4.537.056 4.537.056 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.324.384 1 2.324.384,0 2.324.384,0 2.324.384 2.324.384 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.910.656 1 2.910.656,0 2.910.656,0 2.910.656 2.910.656 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.856.288 1 3.856.288,0 3.856.288,0 3.856.288 3.856.288 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.532.896 1 4.532.896,0 4.532.896,0 4.532.896 4.532.896 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.336 1 4.534.336,0 4.534.336,0 4.534.336 4.534.336 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.877.600 1 2.877.600,0 2.877.600,0 2.877.600 2.877.600 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.280 1 4.533.280,0 4.533.280,0 4.533.280 4.533.280 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.856 1 4.533.856,0 4.533.856,0 4.533.856 4.533.856 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.533.664 1 4.533.664,0 4.533.664,0 4.533.664 4.533.664 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 3.060.384 1 3.060.384,0 3.060.384,0 3.060.384 3.060.384 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.880 1 4.534.880,0 4.534.880,0 4.534.880 4.534.880 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.319.488 1 2.319.488,0 2.319.488,0 2.319.488 2.319.488 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.800 1 4.536.800,0 4.536.800,0 4.536.800 4.536.800 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.973.984 1 2.973.984,0 2.973.984,0 2.973.984 2.973.984 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.536.928 1 4.536.928,0 4.536.928,0 4.536.928 4.536.928 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 4.534.784 1 4.534.784,0 4.534.784,0 4.534.784 4.534.784 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
0,0 2.999.840 1 2.999.840,0 2.999.840,0 2.999.840 2.999.840 0,0 CUDA_KERNEL dilate_kernel(int, int, int, int, float *)
