     35.9       1192412448       3900     305746.8     291488.0     254208     432064      45833.1  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1169736544       3900     299932.4     265840.0     213472     437472      46834.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1261199904       3900     323384.6     345984.0     253824     433568      43222.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.5       1122550080       3900     287833.4     260384.0     254400     447488      41670.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1242777312       3900     318660.8     345856.0     253536     452448      44641.3  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1293211200       3900     331592.6     346144.0     254240     431360      38668.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.4       1368457024       3900     350886.4     346400.0     338560     432384      11219.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1367847904       3900     350730.2     346464.0     339808     429984      11035.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.7       1239939200       3900     317933.1     345856.0     254400     432192      44753.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1368041248       3900     350779.8     346560.0     339264     453408      11133.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.2       1194230816       3900     306213.0     293632.0     253888     430560      45840.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1246444704       3900     319601.2     345856.0     253952     457664      44430.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1243057824       3900     318732.8     345824.0     253856     492416      44665.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1231601056       3900     315795.1     345824.0     254432     430560      45035.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1142332384       3900     292905.7     264288.0     254432     430304      43792.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.0       1335133152       3900     342341.8     346368.0     254176     429696      28786.7  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.6       1315206304       3900     337232.4     346400.0     175200     433504      46402.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.8       1155404640       3900     296257.6     264896.0     253888     408800      44099.4  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.1       1346071456       3900     345146.5     346432.0     253984     428928      24613.6  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.0       1103242688       3900     282882.7     260064.0     203328     456256      56855.0  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.7       1198004832       3900     307180.7     344960.0     254784     431872      45940.2  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.2       1109499328       3900     284487.0     260224.0     205824     434848      52229.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.1       1089051872       3900     279244.1     259936.0     253536     431424      36011.9  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.3       1286876896       3900     329968.4     346016.0     253536     430752      39725.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     35.4       1363686944       3900     349663.3     346496.0     253856     434528      14951.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     29.7        694455488       3900     178065.5     176000.0     172128     288736       6069.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     34.3       1255232864       3900     321854.6     345856.0     253888     433280      43704.8  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
     36.4       1156356480       3900     296501.7     264768.0     253568     431296      44665.5  CUDA_KERNEL  kernel(int, float *, float *, float *, float *)
