0.0 76832 1 76832.0 76832.0 76832 76832 0.0 CUDA_KERNEL compress(long, float *)
0.0 77600 1 77600.0 77600.0 77600 77600 0.0 CUDA_KERNEL compress(long, float *)
0.0 73664 1 73664.0 73664.0 73664 73664 0.0 CUDA_KERNEL compress(long, float *)
0.0 43360 1 43360.0 43360.0 43360 43360 0.0 CUDA_KERNEL compress(long, float *)
0.0 75808 1 75808.0 75808.0 75808 75808 0.0 CUDA_KERNEL compress(long, float *)
0.0 77152 1 77152.0 77152.0 77152 77152 0.0 CUDA_KERNEL compress(long, float *)
0.0 73728 1 73728.0 73728.0 73728 73728 0.0 CUDA_KERNEL compress(long, float *)
0.0 43552 1 43552.0 43552.0 43552 43552 0.0 CUDA_KERNEL compress(long, float *)
0.0 77184 1 77184.0 77184.0 77184 77184 0.0 CUDA_KERNEL compress(long, float *)
0.0 76352 1 76352.0 76352.0 76352 76352 0.0 CUDA_KERNEL compress(long, float *)
0.0 76960 1 76960.0 76960.0 76960 76960 0.0 CUDA_KERNEL compress(long, float *)
0.0 75296 1 75296.0 75296.0 75296 75296 0.0 CUDA_KERNEL compress(long, float *)
0.0 77504 1 77504.0 77504.0 77504 77504 0.0 CUDA_KERNEL compress(long, float *)
0.0 77312 1 77312.0 77312.0 77312 77312 0.0 CUDA_KERNEL compress(long, float *)
0.0 76064 1 76064.0 76064.0 76064 76064 0.0 CUDA_KERNEL compress(long, float *)
0.0 78368 1 78368.0 78368.0 78368 78368 0.0 CUDA_KERNEL compress(long, float *)
0.0 76992 1 76992.0 76992.0 76992 76992 0.0 CUDA_KERNEL compress(long, float *)
0.0 45152 1 45152.0 45152.0 45152 45152 0.0 CUDA_KERNEL compress(long, float *)
0.0 76288 1 76288.0 76288.0 76288 76288 0.0 CUDA_KERNEL compress(long, float *)
0.0 75040 1 75040.0 75040.0 75040 75040 0.0 CUDA_KERNEL compress(long, float *)
0.0 74944 1 74944.0 74944.0 74944 74944 0.0 CUDA_KERNEL compress(long, float *)
0.0 75520 1 75520.0 75520.0 75520 75520 0.0 CUDA_KERNEL compress(long, float *)
0.0 77056 1 77056.0 77056.0 77056 77056 0.0 CUDA_KERNEL compress(long, float *)
0.0 77920 1 77920.0 77920.0 77920 77920 0.0 CUDA_KERNEL compress(long, float *)
0.0 79616 1 79616.0 79616.0 79616 79616 0.0 CUDA_KERNEL compress(long, float *)
0.0 75872 1 75872.0 75872.0 75872 75872 0.0 CUDA_KERNEL compress(long, float *)
