1.4 7653120 100 76531.2 76384.0 75072 80384 662.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7693504 100 76935.0 76816.0 75936 81056 645.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7034496 100 70345.0 70288.0 69152 73760 622.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5035584 100 50355.8 50256.0 49248 55616 719.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7595648 100 75956.5 75856.0 75040 81184 723.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7605056 100 76050.6 75984.0 75040 79712 663.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6954112 100 69541.1 69376.0 68096 73184 1040.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5276352 100 52763.5 52848.0 51296 54080 646.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7627488 100 76274.9 76128.0 75360 81472 689.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7612544 100 76125.4 76080.0 75040 80960 684.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7718432 100 77184.3 77120.0 75904 82464 792.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7438976 100 74389.8 74272.0 73376 81536 869.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7840384 100 78403.8 78432.0 77376 82464 635.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7557856 100 75578.6 75648.0 74304 79936 665.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7669376 100 76693.8 76704.0 75136 81088 721.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7407712 100 74077.1 76896.0 56576 78112 6889.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7656320 100 76563.2 76416.0 75776 80608 632.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5113472 100 51134.7 51024.0 49888 55520 733.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7492512 100 74925.1 74848.0 73632 79488 751.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7997152 100 79971.5 79968.0 78560 81184 586.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7138720 100 71387.2 73792.0 54720 75520 6438.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7702752 100 77027.5 76992.0 75968 79136 579.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7448544 100 74485.4 75488.0 55264 76544 4341.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7952896 100 79529.0 79488.0 78304 81792 550.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7810464 100 78104.6 77984.0 77184 80544 602.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7490336 100 74903.4 74816.0 73792 79712 712.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7784320 100 77843.2 77792.0 76384 80192 610.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.2 6326944 100 63269.4 70800.0 46368 84768 13470.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5301824 100 53018.2 50992.0 49216 60896 3891.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7608032 100 76080.3 76064.0 74784 79968 669.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7655424 100 76554.2 76480.0 75232 80992 729.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7422400 100 74224.0 74112.0 73216 80096 783.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7803072 100 78030.7 78080.0 76736 80640 557.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7628992 100 76289.9 78256.0 70368 79840 3433.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7615904 100 76159.0 76064.0 75104 80416 605.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7750560 100 77505.6 77472.0 76224 79552 588.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7534016 100 75340.2 75264.0 74208 79520 732.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 6797280 100 67972.8 73648.0 46688 75616 9402.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7804960 100 78049.6 77984.0 76864 80480 587.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7634496 100 76345.0 76512.0 74784 80288 754.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7287072 100 72870.7 76480.0 55456 77536 7695.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.5 8637024 100 86370.2 86496.0 79936 88576 908.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7553408 100 75534.1 75488.0 74368 81600 830.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7777312 100 77773.1 77728.0 76576 80672 571.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7456192 100 74561.9 74528.0 73408 81024 846.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7665440 100 76654.4 76560.0 75648 80608 627.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7986688 100 79866.9 79808.0 78560 81152 501.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7248768 100 72487.7 74080.0 66816 75840 3239.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7516416 100 75164.2 77920.0 59296 79008 6559.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7385984 100 73859.8 75552.0 68352 77376 3217.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7553760 100 75537.6 75424.0 74464 80640 702.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 5463232 100 54632.3 54592.0 53152 56320 599.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7278464 100 72784.6 74896.0 54688 76192 6143.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7797184 100 77971.8 77952.0 76832 80192 558.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7934496 100 79345.0 79296.0 78112 81824 603.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7482240 100 74822.4 74736.0 73632 81248 828.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7550176 100 75501.8 75392.0 74752 81376 707.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7800416 100 78004.2 77984.0 77152 80384 566.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7744000 100 77440.0 78816.0 59712 80768 5005.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7890432 100 78904.3 78896.0 78080 80096 460.7 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7492960 100 74929.6 75184.0 57984 77152 2233.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7719680 100 77196.8 77216.0 76032 79808 575.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7591072 100 75910.7 75744.0 74848 79424 676.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7341952 100 73419.5 76480.0 55392 77632 7452.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7548384 100 75483.8 75488.0 74272 80480 761.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5209312 100 52093.1 50112.0 48480 60000 4015.6 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 8120832 100 81208.3 81152.0 80224 82688 582.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7340512 100 73405.1 76768.0 56576 78464 7555.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7747680 100 77476.8 77392.0 76096 80256 730.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7440064 100 74400.6 74368.0 73184 80832 835.8 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 6599808 100 65998.1 74896.0 48960 76864 10831.9 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7566016 100 75660.2 75520.0 74752 81248 751.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5585120 100 55851.2 50784.0 47296 75136 9091.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 5033280 100 50332.8 50352.0 49184 54176 678.3 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7141344 100 71413.4 73792.0 54336 75168 6268.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.3 7106112 100 71061.1 73472.0 53184 75072 6411.4 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7914848 100 79148.5 79200.0 77856 82656 639.1 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7597760 100 75977.6 75952.0 74784 80288 690.0 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7696704 100 76967.0 76912.0 75872 81216 678.2 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7813088 100 78130.9 78096.0 76576 80192 609.5 CUDA_KERNEL prepare(long, float *, float *, float *)
1.4 7308096 100 73081.0 76000.0 57056 77888 6833.4 CUDA_KERNEL prepare(long, float *, float *, float *)
