5.0 27722944 200 138614.7 137888.0 42688 235680 95691.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27698336 200 138491.7 138112.0 42816 235584 95421.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26995200 200 134976.0 135328.0 38912 232288 95762.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14289408 200 71447.0 71600.0 21824 121920 49241.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27780288 200 138901.4 139312.0 43296 235840 95355.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27728448 200 138642.2 137792.0 42752 236160 95571.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26992320 200 134961.6 135040.0 38912 233376 95711.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.5 14102112 200 70510.6 70736.0 21440 120512 48761.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27719456 200 138597.3 137792.0 42656 235744 95648.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27775584 200 138877.9 138336.0 43296 235648 95367.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27781632 200 138908.2 138016.0 43264 236192 95368.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27723584 200 138617.9 138832.0 42784 235616 95581.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27704704 200 138523.5 138384.0 42688 235872 95642.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27740672 200 138703.4 138288.0 42912 235360 95638.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27733600 200 138668.0 137728.0 42816 236288 95653.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25714880 200 128574.4 82912.0 26112 236480 92478.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27756448 200 138782.2 137728.0 43264 235808 95238.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14178720 200 70893.6 71024.0 21632 121184 48953.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27711552 200 138557.8 138512.0 42880 235456 95393.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27747424 200 138737.1 138400.0 42880 235744 95667.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 26067648 200 130338.2 87504.0 26656 236160 93021.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27751328 200 138756.6 137824.0 43264 235456 95313.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 26958528 200 134792.6 87024.0 26656 234784 94404.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27694560 200 138472.8 137744.0 42784 235296 95439.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27757504 200 138787.5 138160.0 43136 235712 95399.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27738272 200 138691.4 138208.0 42752 235648 95645.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27732416 200 138662.1 138768.0 42816 237248 95574.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.4 22864032 200 114320.2 92496.0 26112 235968 85140.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14591744 200 72958.7 72688.0 21312 133888 50018.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 27743904 200 138719.5 138240.0 42816 235712 95671.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27737760 200 138688.8 138912.0 42848 235360 95581.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27707520 200 138537.6 138688.0 42688 235680 95633.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27772064 200 138860.3 137776.0 43200 235936 95384.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27512032 200 137560.2 137680.0 39200 235968 95396.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27746112 200 138730.6 138672.0 42848 235872 95676.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27728192 200 138641.0 138112.0 42784 236352 95552.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27776192 200 138881.0 138992.0 43328 235776 95391.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 24011840 200 120059.2 82000.0 21728 236864 88993.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27777952 200 138889.8 138752.0 43200 235680 95419.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27768832 200 138844.2 139312.0 43168 235872 95375.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25342688 200 126713.4 82912.0 26240 235904 91950.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27723712 200 138618.6 138160.0 42624 235904 95733.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27715488 200 138577.4 137696.0 42720 235808 95550.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27721376 200 138606.9 138032.0 42656 235872 95610.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27769376 200 138846.9 139296.0 43168 235360 95312.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27753696 200 138768.5 138384.0 43168 235552 95345.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27762944 200 138814.7 137712.0 43264 235744 95327.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27534368 200 137671.8 137072.0 39072 235936 95516.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25855936 200 129279.7 87568.0 26784 235392 92559.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27519968 200 137599.8 137600.0 39200 235968 95366.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27699040 200 138495.2 137712.0 42912 235168 95392.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14113568 200 70567.8 70576.0 21440 120224 48798.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26339872 200 131699.4 86704.0 27008 235488 93317.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27781536 200 138907.7 139008.0 43232 235840 95364.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27743584 200 138717.9 137760.0 42784 235648 95647.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27692704 200 138463.5 137888.0 42784 235072 95402.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27713952 200 138569.8 138224.0 42656 235296 95524.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27719648 200 138598.2 138080.0 42688 235424 95575.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26748544 200 133742.7 84816.0 25984 235712 94225.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27730752 200 138653.8 138608.0 43200 234784 95193.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27484832 200 137424.2 88656.0 26976 236032 95292.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27749440 200 138747.2 139280.0 42816 236480 95712.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27771104 200 138855.5 137904.0 43232 235648 95330.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25741120 200 128705.6 83264.0 25760 235392 92725.4 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27761504 200 138807.5 138800.0 43136 235616 95352.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14517888 200 72589.4 72384.0 21376 132736 49702.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27783680 200 138918.4 138352.0 43328 235744 95344.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 25405376 200 127026.9 85136.0 26240 235648 92088.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27757472 200 138787.4 138720.0 43296 235328 95231.5 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27751712 200 138758.6 139200.0 42848 235712 95566.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.5 21837600 200 109188.0 82048.0 21600 235776 84061.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27753120 200 138765.6 138560.0 43200 235808 95420.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.1 18016128 200 90080.6 82064.0 21536 235904 70189.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.6 14081600 200 70408.0 69840.0 21600 120480 48542.3 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 26132672 200 130663.4 87584.0 27360 235680 92788.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.8 26123872 200 130619.4 84912.0 26432 235424 93050.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27743136 200 138715.7 138128.0 42944 235680 95571.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27768576 200 138842.9 138352.0 43296 235424 95340.6 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 27735168 200 138675.8 138576.0 42752 235584 95650.2 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27739936 200 138699.7 138608.0 43232 235456 95245.9 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.7 25635840 200 128179.2 87984.0 27104 235136 92100.8 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.9 27723872 200 138619.4 138224.0 42752 235616 95566.1 CUDA_KERNEL reduce(long, int, int, float *, float *)
3.9 15973568 200 79867.8 79376.0 21696 230784 60380.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
4.4 21471648 200 107358.2 81936.0 21792 235200 83255.0 CUDA_KERNEL reduce(long, int, int, float *, float *)
5.0 28025536 200 140127.7 139600.0 45824 235072 94082.7 CUDA_KERNEL reduce(long, int, int, float *, float *)
