16.0 88331584 100 883315.8 883392.0 881376 884704 630.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.7 88308864 100 883088.6 883136.0 881376 885152 738.5 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88139968 100 881399.7 881392.0 879744 882912 726.2 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
11.4 44976608 100 449766.1 449632.0 448192 452864 954.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88333472 100 883334.7 883456.0 881472 885216 732.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88329760 100 883297.6 883232.0 881120 885056 747.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88141536 100 881415.4 881344.0 879232 882880 694.1 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
10.9 44284384 100 442843.8 442928.0 441760 443712 445.9 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88330624 100 883306.2 883328.0 881600 885344 720.6 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88327968 100 883279.7 883200.0 881536 884960 724.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
15.8 88328160 100 883281.6 883344.0 881152 884800 759.4 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88315296 100 883153.0 883232.0 881632 884672 650.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88324640 100 883246.4 883344.0 881568 885312 757.8 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.0 88313056 100 883130.6 883200.0 881664 885408 749.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
16.1 88326400 100 883264.0 883328.0 881184 885120 732.7 CUDA_KERNEL srad(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float, …
