6.2 34135552 100 341355.5 341376.0 339680 343168 749.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139776 100 341397.8 341488.0 339552 342784 738.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 33941664 100 339416.6 339360.0 338048 342208 681.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19750176 100 197501.8 197440.0 195904 203232 955.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34148320 100 341483.2 341488.0 339872 342976 686.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34125440 100 341254.4 341264.0 339744 342560 619.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 33937280 100 339372.8 339344.0 338048 341248 610.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
4.9 19755968 100 197559.7 197312.0 195840 207424 1506.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34140288 100 341402.9 341376.0 339968 343072 650.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34134176 100 341341.8 341376.0 339808 343296 709.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34141312 100 341413.1 341504.0 339808 343136 680.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34151200 100 341512.0 341552.0 339616 344544 710.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34119648 100 341196.5 341184.0 339488 343424 648.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34137216 100 341372.2 341312.0 340000 343200 596.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34136928 100 341369.3 341392.0 339488 342912 666.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31937440 100 319374.4 341152.0 201152 343264 50528.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34131296 100 341313.0 341328.0 339648 343040 670.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19808544 100 198085.4 197968.0 196352 202336 951.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34135520 100 341355.2 341344.0 339552 343680 692.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34122688 100 341226.9 341216.0 339680 342688 645.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.8 32216640 100 322166.4 341296.0 202656 343104 47822.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34129984 100 341299.8 341248.0 339936 343232 682.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 33465856 100 334658.6 341344.0 206496 342432 29442.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34133440 100 341334.4 341312.0 339744 343616 709.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34131200 100 341312.0 341344.0 339584 342880 655.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34126848 100 341268.5 341216.0 339872 343040 614.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34162496 100 341625.0 341664.0 340032 343072 650.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.4 28186880 100 281868.8 339328.0 204544 343808 64515.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 20128032 100 201280.3 197776.0 195936 341408 14676.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 34169536 100 341695.4 341680.0 339808 343680 776.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34136736 100 341367.4 341456.0 339392 342912 590.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34132320 100 341323.2 341312.0 339968 342944 698.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34123936 100 341239.4 341184.0 340032 342752 630.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34060928 100 340609.3 340752.0 338400 343808 1127.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34151552 100 341515.5 341600.0 339712 343552 704.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34154176 100 341541.8 341632.0 339936 343040 648.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34124512 100 341245.1 341248.0 339488 343680 714.1 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.8 29890464 100 298904.6 340832.0 195904 342656 63708.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34123328 100 341233.3 341152.0 340064 342912 600.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139040 100 341390.4 341376.0 339744 343808 691.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31605760 100 316057.6 341232.0 198880 342624 54505.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34132544 100 341325.4 341216.0 339712 343360 706.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34137472 100 341374.7 341472.0 339904 342752 627.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34146688 100 341466.9 341488.0 339968 343872 685.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34132768 100 341327.7 341264.0 339584 342784 655.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139712 100 341397.1 341440.0 338880 343872 803.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34138688 100 341386.9 341408.0 339392 343520 788.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34066976 100 340669.8 340960.0 338080 343008 1075.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 32083840 100 320838.4 341104.0 203488 343136 48958.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34076640 100 340766.4 340880.0 338176 343040 1147.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34124416 100 341244.2 341248.0 339616 342624 665.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19625920 100 196259.2 196208.0 194528 199968 973.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 32541504 100 325415.0 341376.0 202240 342752 43866.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34143200 100 341432.0 341456.0 339520 343200 754.0 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34135648 100 341356.5 341440.0 339968 342656 735.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34142080 100 341420.8 341440.0 339776 343008 694.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34141184 100 341411.8 341504.0 339840 342944 685.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34141664 100 341416.6 341504.0 339200 343104 760.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 33165184 100 331651.8 341392.0 199456 342880 36024.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34122720 100 341227.2 341168.0 339616 343040 651.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 33989600 100 339896.0 341328.0 205184 342656 13628.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34139136 100 341391.4 341280.0 339840 343616 744.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34133920 100 341339.2 341312.0 339840 343328 651.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 32042560 100 320425.6 341248.0 200800 342976 50211.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34145696 100 341457.0 341568.0 339264 343488 701.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19903328 100 199033.3 197088.0 195360 209856 3624.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34136384 100 341363.8 341344.0 339392 344448 787.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 31630816 100 316308.2 340944.0 201472 342816 53373.9 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34142560 100 341425.6 341408.0 339808 342912 667.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34136896 100 341369.0 341360.0 339968 343136 696.7 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.7 27767296 100 277673.0 340560.0 195840 342816 70933.3 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.2 34126208 100 341262.1 341344.0 339520 342944 696.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.3 23255296 100 232553.0 201120.0 196128 342624 59371.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.0 19762624 100 197626.2 197424.0 195776 204352 1181.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 32228480 100 322284.8 341232.0 192992 342976 49644.4 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 32257504 100 322575.0 341264.0 194752 342752 48840.2 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34141312 100 341413.1 341504.0 339584 342912 676.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34138304 100 341383.0 341376.0 339552 343040 626.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.1 34129056 100 341290.6 341328.0 339392 342784 713.5 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
6.0 34136864 100 341368.6 341376.0 339680 343872 827.8 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
5.9 31778656 100 317786.6 341104.0 201568 343072 52305.6 CUDA_KERNEL srad2(float, int, int, long, int *, int *, int *, int *, float *, float *, float *, float *, float …
