13,0 2.910.432 1 2.910.432,0 2.910.432,0 2.910.432 2.910.432 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.901.952 1 3.901.952,0 3.901.952,0 3.901.952 3.901.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.852.128 1 3.852.128,0 3.852.128,0 3.852.128 3.852.128 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 6.404.352 1 6.404.352,0 6.404.352,0 6.404.352 6.404.352 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.868.608 1 3.868.608,0 3.868.608,0 3.868.608 3.868.608 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.879.424 1 3.879.424,0 3.879.424,0 3.879.424 3.879.424 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 2.913.056 1 2.913.056,0 2.913.056,0 2.913.056 2.913.056 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.870.720 1 3.870.720,0 3.870.720,0 3.870.720 3.870.720 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.907.424 1 3.907.424,0 3.907.424,0 3.907.424 3.907.424 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.870.880 1 3.870.880,0 3.870.880,0 3.870.880 3.870.880 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.877.952 1 3.877.952,0 3.877.952,0 3.877.952 3.877.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
10,0 1.931.584 1 1.931.584,0 1.931.584,0 1.931.584 1.931.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
11,0 3.882.528 1 3.882.528,0 3.882.528,0 3.882.528 3.882.528 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.874.464 1 3.874.464,0 3.874.464,0 3.874.464 3.874.464 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 2.924.832 1 2.924.832,0 2.924.832,0 2.924.832 2.924.832 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 5.779.712 1 5.779.712,0 5.779.712,0 5.779.712 5.779.712 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 5.886.816 1 5.886.816,0 5.886.816,0 5.886.816 5.886.816 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 2.908.768 1 2.908.768,0 2.908.768,0 2.908.768 2.908.768 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 2.923.072 1 2.923.072,0 2.923.072,0 2.923.072 2.923.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.902.944 1 3.902.944,0 3.902.944,0 3.902.944 3.902.944 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 2.910.144 1 2.910.144,0 2.910.144,0 2.910.144 2.910.144 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.899.040 1 3.899.040,0 3.899.040,0 3.899.040 3.899.040 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 5.399.328 1 5.399.328,0 5.399.328,0 5.399.328 5.399.328 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
5,0 3.915.744 1 3.915.744,0 3.915.744,0 3.915.744 3.915.744 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
13,0 3.907.584 1 3.907.584,0 3.907.584,0 3.907.584 3.907.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.889.920 1 3.889.920,0 3.889.920,0 3.889.920 3.889.920 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.876.608 1 3.876.608,0 3.876.608,0 3.876.608 3.876.608 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 3.898.848 1 3.898.848,0 3.898.848,0 3.898.848 3.898.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 5.627.072 1 5.627.072,0 5.627.072,0 5.627.072 5.627.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
