2,0 549.440 1 549.440,0 549.440,0 549.440 549.440 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 769.824 1 769.824,0 769.824,0 769.824 769.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 765.504 1 765.504,0 765.504,0 765.504 765.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 538.144 1 538.144,0 538.144,0 538.144 538.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 752.928 1 752.928,0 752.928,0 752.928 752.928 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 741.216 1 741.216,0 741.216,0 741.216 741.216 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 550.080 1 550.080,0 550.080,0 550.080 550.080 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 716.864 1 716.864,0 716.864,0 716.864 716.864 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 759.360 1 759.360,0 759.360,0 759.360 759.360 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 761.504 1 761.504,0 761.504,0 761.504 761.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 770.944 1 770.944,0 770.944,0 770.944 770.944 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 405.408 1 405.408,0 405.408,0 405.408 405.408 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 779.264 1 779.264,0 779.264,0 779.264 779.264 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 763.008 1 763.008,0 763.008,0 763.008 763.008 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 531.360 1 531.360,0 531.360,0 531.360 531.360 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 749.888 1 749.888,0 749.888,0 749.888 749.888 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 550.496 1 550.496,0 550.496,0 550.496 550.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 549.280 1 549.280,0 549.280,0 549.280 549.280 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 550.624 1 550.624,0 550.624,0 550.624 550.624 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 745.824 1 745.824,0 745.824,0 745.824 745.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 548.992 1 548.992,0 548.992,0 548.992 548.992 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 769.280 1 769.280,0 769.280,0 769.280 769.280 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 771.744 1 771.744,0 771.744,0 771.744 771.744 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 517.472 1 517.472,0 517.472,0 517.472 517.472 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 770.880 1 770.880,0 770.880,0 770.880 770.880 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 744.352 1 744.352,0 744.352,0 744.352 744.352 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 770.560 1 770.560,0 770.560,0 770.560 770.560 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 759.808 1 759.808,0 759.808,0 759.808 759.808 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 550.368 1 550.368,0 550.368,0 550.368 550.368 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 769.472 1 769.472,0 769.472,0 769.472 769.472 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 769.184 1 769.184,0 769.184,0 769.184 769.184 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 517.344 1 517.344,0 517.344,0 517.344 517.344 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 771.072 1 771.072,0 771.072,0 771.072 771.072 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 730.560 1 730.560,0 730.560,0 730.560 730.560 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
