     22,0        3.846.016          1  3.846.016,0  3.846.016,0  3.846.016  3.846.016          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          811.872          1    811.872,0    811.872,0    811.872    811.872          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.889.280          1  3.889.280,0  3.889.280,0  3.889.280  3.889.280          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          807.680          1    807.680,0    807.680,0    807.680    807.680          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        3.856.000          1  3.856.000,0  3.856.000,0  3.856.000  3.856.000          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          803.776          1    803.776,0    803.776,0    803.776    803.776          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        3.887.392          1  3.887.392,0  3.887.392,0  3.887.392  3.887.392          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          814.272          1    814.272,0    814.272,0    814.272    814.272          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.900.032          1  3.900.032,0  3.900.032,0  3.900.032  3.900.032          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          803.424          1    803.424,0    803.424,0    803.424    803.424          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        3.839.072          1  3.839.072,0  3.839.072,0  3.839.072  3.839.072          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          802.784          1    802.784,0    802.784,0    802.784    802.784          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.864.320          1  3.864.320,0  3.864.320,0  3.864.320  3.864.320          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          809.504          1    809.504,0    809.504,0    809.504    809.504          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        2.081.312          1  2.081.312,0  2.081.312,0  2.081.312  2.081.312          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          451.776          1    451.776,0    451.776,0    451.776    451.776          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        3.806.976          1  3.806.976,0  3.806.976,0  3.806.976  3.806.976          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          806.784          1    806.784,0    806.784,0    806.784    806.784          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     27,0        2.914.432          1  2.914.432,0  2.914.432,0  2.914.432  2.914.432          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          576.960          1    576.960,0    576.960,0    576.960    576.960          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        1.973.728          1  1.973.728,0  1.973.728,0  1.973.728  1.973.728          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          428.000          1    428.000,0    428.000,0    428.000    428.000          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        2.448.384          1  2.448.384,0  2.448.384,0  2.448.384  2.448.384          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          500.544          1    500.544,0    500.544,0    500.544    500.544          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     26,0        3.871.584          1  3.871.584,0  3.871.584,0  3.871.584  3.871.584          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          807.328          1    807.328,0    807.328,0    807.328    807.328          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        1.981.472          1  1.981.472,0  1.981.472,0  1.981.472  1.981.472          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          436.480          1    436.480,0    436.480,0    436.480    436.480          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.974.016          1  1.974.016,0  1.974.016,0  1.974.016  1.974.016          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          433.312          1    433.312,0    433.312,0    433.312    433.312          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     25,0        1.943.264          1  1.943.264,0  1.943.264,0  1.943.264  1.943.264          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      5,0          426.528          1    426.528,0    426.528,0    426.528    426.528          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     31,0        2.890.112          1  2.890.112,0  2.890.112,0  2.890.112  2.890.112          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      6,0          570.912          1    570.912,0    570.912,0    570.912    570.912          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
