22,0 3.846.016 1 3.846.016,0 3.846.016,0 3.846.016 3.846.016 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.889.280 1 3.889.280,0 3.889.280,0 3.889.280 3.889.280 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.856.000 1 3.856.000,0 3.856.000,0 3.856.000 3.856.000 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.887.392 1 3.887.392,0 3.887.392,0 3.887.392 3.887.392 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.900.032 1 3.900.032,0 3.900.032,0 3.900.032 3.900.032 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.839.072 1 3.839.072,0 3.839.072,0 3.839.072 3.839.072 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.864.320 1 3.864.320,0 3.864.320,0 3.864.320 3.864.320 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 2.081.312 1 2.081.312,0 2.081.312,0 2.081.312 2.081.312 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 3.806.976 1 3.806.976,0 3.806.976,0 3.806.976 3.806.976 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.914.432 1 2.914.432,0 2.914.432,0 2.914.432 2.914.432 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 1.973.728 1 1.973.728,0 1.973.728,0 1.973.728 1.973.728 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.448.384 1 2.448.384,0 2.448.384,0 2.448.384 2.448.384 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
26,0 3.871.584 1 3.871.584,0 3.871.584,0 3.871.584 3.871.584 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
