4,0 811.872 1 811.872,0 811.872,0 811.872 811.872 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 807.680 1 807.680,0 807.680,0 807.680 807.680 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 803.776 1 803.776,0 803.776,0 803.776 803.776 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 814.272 1 814.272,0 814.272,0 814.272 814.272 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.424 1 803.424,0 803.424,0 803.424 803.424 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 802.784 1 802.784,0 802.784,0 802.784 802.784 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 809.504 1 809.504,0 809.504,0 809.504 809.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 451.776 1 451.776,0 451.776,0 451.776 451.776 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 806.784 1 806.784,0 806.784,0 806.784 806.784 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 576.960 1 576.960,0 576.960,0 576.960 576.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 428.000 1 428.000,0 428.000,0 428.000 428.000 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 500.544 1 500.544,0 500.544,0 500.544 500.544 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 807.328 1 807.328,0 807.328,0 807.328 807.328 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 436.480 1 436.480,0 436.480,0 436.480 436.480 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 433.312 1 433.312,0 433.312,0 433.312 433.312 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 426.528 1 426.528,0 426.528,0 426.528 426.528 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
6,0 570.912 1 570.912,0 570.912,0 570.912 570.912 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.328 1 803.328,0 803.328,0 803.328 803.328 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 806.144 1 806.144,0 806.144,0 806.144 806.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 490.016 1 490.016,0 490.016,0 490.016 490.016 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.616 1 803.616,0 803.616,0 803.616 803.616 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 454.272 1 454.272,0 454.272,0 454.272 454.272 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 430.976 1 430.976,0 430.976,0 430.976 430.976 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 427.296 1 427.296,0 427.296,0 427.296 427.296 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 428.960 1 428.960,0 428.960,0 428.960 428.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 424.704 1 424.704,0 424.704,0 424.704 424.704 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 440.096 1 440.096,0 440.096,0 440.096 440.096 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 565.408 1 565.408,0 565.408,0 565.408 565.408 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 800.320 1 800.320,0 800.320,0 800.320 800.320 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 430.944 1 430.944,0 430.944,0 430.944 430.944 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 566.944 1 566.944,0 566.944,0 566.944 566.944 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
7,0 573.728 1 573.728,0 573.728,0 573.728 573.728 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 799.136 1 799.136,0 799.136,0 799.136 799.136 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 428.832 1 428.832,0 428.832,0 428.832 428.832 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 448.512 1 448.512,0 448.512,0 448.512 448.512 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 558.848 1 558.848,0 558.848,0 558.848 558.848 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
6,0 432.288 1 432.288,0 432.288,0 432.288 432.288 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.392 1 803.392,0 803.392,0 803.392 803.392 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 566.528 1 566.528,0 566.528,0 566.528 566.528 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 434.144 1 434.144,0 434.144,0 434.144 434.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.104 1 803.104,0 803.104,0 803.104 803.104 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 556.960 1 556.960,0 556.960,0 556.960 556.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 430.784 1 430.784,0 430.784,0 430.784 430.784 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 806.560 1 806.560,0 806.560,0 806.560 806.560 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 434.496 1 434.496,0 434.496,0 434.496 434.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 429.280 1 429.280,0 429.280,0 429.280 429.280 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 432.352 1 432.352,0 432.352,0 432.352 432.352 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 428.448 1 428.448,0 428.448,0 428.448 428.448 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 435.616 1 435.616,0 435.616,0 435.616 435.616 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 804.032 1 804.032,0 804.032,0 804.032 804.032 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 435.872 1 435.872,0 435.872,0 435.872 435.872 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 433.760 1 433.760,0 433.760,0 433.760 433.760 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 487.136 1 487.136,0 487.136,0 487.136 487.136 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 803.808 1 803.808,0 803.808,0 803.808 803.808 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 434.176 1 434.176,0 434.176,0 434.176 434.176 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 553.664 1 553.664,0 553.664,0 553.664 553.664 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 435.712 1 435.712,0 435.712,0 435.712 435.712 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 801.472 1 801.472,0 801.472,0 801.472 801.472 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
6,0 428.704 1 428.704,0 428.704,0 428.704 428.704 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 566.080 1 566.080,0 566.080,0 566.080 566.080 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 434.912 1 434.912,0 434.912,0 434.912 434.912 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 481.664 1 481.664,0 481.664,0 481.664 481.664 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 804.608 1 804.608,0 804.608,0 804.608 804.608 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
6,0 810.208 1 810.208,0 810.208,0 810.208 810.208 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 434.496 1 434.496,0 434.496,0 434.496 434.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 429.088 1 429.088,0 429.088,0 429.088 429.088 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 488.992 1 488.992,0 488.992,0 488.992 488.992 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
