36,0 3.612.946.752 6.000 602.157,0 584.640,0 579.968 3.233.664 142.637,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.587.607.392 6.000 597.934,0 584.288,0 579.328 2.440.000 84.707,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.585.164.064 6.000 597.527,0 585.056,0 580.672 2.450.272 79.160,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.578.646.560 6.000 596.441,0 584.416,0 580.096 2.590.048 79.445,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.560.476.736 6.000 593.412,0 585.024,0 580.832 2.459.200 60.960,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.594.891.744 6.000 599.148,0 584.000,0 579.232 2.448.064 90.801,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.678.152.128 6.000 613.025,0 584.640,0 580.640 1.474.112 118.056,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.590.646.208 6.000 598.441,0 584.768,0 580.672 2.466.688 75.631,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.579.221.568 6.000 596.536,0 584.848,0 580.960 2.467.648 81.690,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.557.500.384 6.000 592.916,0 584.384,0 579.264 2.472.608 58.170,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.566.039.008 6.000 594.339,0 584.096,0 578.848 2.316.704 69.556,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.553.703.392 6.000 592.283,0 584.192,0 578.656 2.457.632 59.559,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.580.705.248 6.000 596.784,0 584.800,0 580.768 2.505.952 82.896,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.569.404.320 6.000 594.900,0 584.640,0 580.352 2.579.808 75.839,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.721.666.944 6.000 620.277,0 584.656,0 579.360 4.277.248 207.788,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.625.234.624 6.000 604.205,0 584.704,0 579.520 4.115.776 116.538,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.561.875.104 6.000 593.645,0 584.192,0 579.840 2.568.416 67.575,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.568.232.192 6.000 594.705,0 584.448,0 579.936 2.447.360 72.091,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.566.641.376 6.000 594.440,0 584.544,0 580.416 2.678.848 72.533,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.573.457.216 6.000 595.576,0 584.544,0 579.840 2.405.152 75.087,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.595.033.792 6.000 599.172,0 584.448,0 580.160 2.435.104 93.385,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.585.361.088 6.000 597.560,0 584.512,0 579.200 2.463.104 86.775,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
36,0 3.602.185.824 6.000 600.364,0 584.224,0 578.336 2.438.432 90.157,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *)
