1,0 168.613.632 2.000 84.306,0 81.728,0 80.608 2.347.808 51.357,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.332.768 2.000 84.166,0 82.016,0 80.896 212.800 13.286,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.506.368 2.000 84.253,0 82.272,0 81.216 212.448 12.429,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.216.192 2.000 83.108,0 81.184,0 80.288 211.936 12.263,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.997.760 2.000 82.998,0 81.632,0 80.672 211.008 9.142,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.801.696 2.000 83.400,0 81.056,0 80.128 208.992 13.803,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 172.162.752 2.000 86.081,0 81.664,0 80.736 210.912 18.550,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.825.824 2.000 83.412,0 81.280,0 80.256 211.552 11.543,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.760.384 2.000 83.880,0 82.016,0 80.768 210.400 12.605,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.053.216 2.000 82.526,0 81.152,0 80.128 209.792 8.602,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.145.696 2.000 83.072,0 81.440,0 80.512 210.752 10.618,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.605.632 2.000 82.802,0 81.504,0 80.480 211.584 8.676,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.755.360 2.000 83.877,0 81.984,0 80.960 212.672 12.903,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.292.608 2.000 82.646,0 81.120,0 80.224 210.400 10.603,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 172.333.856 2.000 86.166,0 81.440,0 80.320 1.579.776 64.058,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 169.387.360 2.000 84.693,0 81.344,0 80.320 1.060.320 26.996,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.456.736 2.000 83.228,0 81.792,0 80.704 212.544 8.903,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.956.768 2.000 82.978,0 81.408,0 80.480 210.528 10.119,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.815.264 2.000 82.907,0 81.504,0 80.576 210.976 8.429,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.391.040 2.000 83.695,0 81.984,0 80.832 212.000 10.687,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.964.992 2.000 83.482,0 81.408,0 80.192 211.168 12.802,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.567.072 2.000 83.283,0 81.408,0 80.160 208.896 11.546,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.775.296 2.000 83.887,0 81.440,0 80.544 210.272 13.226,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.482.528 2.000 82.741,0 80.960,0 80.064 874.592 19.982,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.899.712 2.000 84.449,0 81.440,0 80.480 211.072 15.324,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.989.184 2.000 83.994,0 81.888,0 80.672 873.760 19.767,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 168.816.448 2.000 84.408,0 81.344,0 80.384 212.000 16.510,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.698.176 2.000 83.849,0 81.024,0 79.904 1.058.496 25.598,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.710.176 2.000 83.355,0 81.344,0 80.512 211.008 11.957,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.667.360 2.000 83.333,0 81.568,0 80.544 210.944 11.106,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.631.872 2.000 82.815,0 81.248,0 80.192 209.184 10.583,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.332.320 2.000 83.666,0 81.248,0 80.320 209.504 14.178,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.739.904 2.000 83.370,0 81.312,0 80.320 209.888 12.973,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.947.040 2.000 82.973,0 80.608,0 79.232 209.792 12.569,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.758.304 2.000 83.879,0 81.216,0 80.224 1.152.384 27.112,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.361.888 2.000 83.180,0 81.376,0 80.416 212.576 11.345,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.896.992 2.000 83.448,0 81.440,0 80.544 871.904 20.412,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.288.736 2.000 83.144,0 81.280,0 80.160 850.304 19.583,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.200.320 2.000 83.100,0 81.760,0 80.704 212.288 8.450,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.662.176 2.000 83.831,0 81.408,0 80.448 1.728.736 38.430,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.858.240 2.000 82.929,0 81.056,0 80.128 212.128 10.422,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 167.191.552 2.000 83.595,0 81.280,0 80.320 209.216 11.097,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.482.208 2.000 83.241,0 81.344,0 80.384 211.296 10.405,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.903.776 2.000 83.451,0 81.696,0 80.672 214.432 11.378,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 166.746.944 2.000 83.373,0 81.664,0 80.512 211.744 11.178,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 165.881.056 2.000 82.940,0 81.280,0 80.352 211.456 10.906,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
