0,0 341.600 3 113.866,0 114.368,0 112.800 114.432 924,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.584 3 113.194,0 113.952,0 109.824 115.808 3.063,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.456 3 114.485,0 114.144,0 111.456 117.856 3.213,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 339.424 3 113.141,0 114.752,0 109.728 114.944 2.957,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.848 3 114.282,0 112.256,0 111.072 119.520 4.574,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.344 3 111.114,0 111.392,0 110.176 111.776 835,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 332.608 3 110.869,0 111.552,0 109.216 111.840 1.439,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 336.640 3 112.213,0 111.840,0 111.616 113.184 848,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.232 3 114.410,0 114.304,0 112.768 116.160 1.698,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 342.336 3 114.112,0 116.096,0 109.984 116.256 3.575,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 344.768 3 114.922,0 117.376,0 109.984 117.408 4.277,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 343.200 3 114.400,0 114.656,0 112.608 115.936 1.678,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 346.400 3 115.466,0 111.296,0 110.848 124.256 7.615,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 341.472 3 113.824,0 114.368,0 111.520 115.584 2.085,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 340.576 3 113.525,0 114.752,0 110.816 115.008 2.349,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 337.280 3 112.426,0 111.360,0 107.840 118.080 5.202,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 335.744 3 111.914,0 112.320,0 109.984 113.440 1.763,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.568 3 111.189,0 110.848,0 108.448 114.272 2.927,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 338.144 3 112.714,0 114.176,0 108.128 115.840 4.058,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
0,0 333.248 3 111.082,0 111.424,0 109.120 112.704 1.816,0 CUDA_KERNEL cuda_initialize_variables(int, float *)
