8,0 799.870.688 6.000 133.311,0 128.928,0 127.552 2.642.976 61.153,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 804.989.312 6.000 134.164,0 130.432,0 128.896 355.552 23.389,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.010.976 6.000 132.835,0 129.152,0 127.552 352.256 22.805,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.482.496 6.000 133.080,0 129.440,0 128.096 351.328 22.950,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 788.276.608 6.000 131.379,0 128.800,0 127.456 943.584 18.860,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 801.771.712 6.000 133.628,0 129.216,0 127.808 347.776 25.876,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 829.347.776 6.000 138.224,0 129.808,0 128.576 2.018.016 42.195,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 802.446.144 6.000 133.741,0 129.792,0 128.320 345.728 21.045,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 799.073.760 6.000 133.179,0 129.696,0 128.544 352.640 23.820,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 787.730.784 6.000 131.288,0 128.768,0 127.392 344.832 15.115,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.584.128 6.000 132.930,0 129.920,0 128.576 355.808 19.529,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 793.928.672 6.000 132.321,0 129.984,0 128.768 353.888 14.948,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 800.294.656 6.000 133.382,0 129.824,0 128.448 350.496 24.118,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 797.138.208 6.000 132.856,0 129.888,0 128.416 360.768 20.166,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 827.471.648 6.000 137.911,0 129.504,0 128.128 1.834.496 81.587,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 810.007.200 6.000 135.001,0 129.440,0 128.160 2.420.608 41.529,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 796.823.744 6.000 132.804,0 129.856,0 128.384 1.915.424 27.729,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
8,0 798.325.120 6.000 133.054,0 129.440,0 128.064 1.985.824 35.108,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
