1,0 87.977.088 2.000 43.988,0 42.496,0 40.800 105.216 7.188,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.597.888 2.000 43.298,0 41.664,0 40.928 1.031.424 22.775,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.857.056 2.000 43.928,0 42.592,0 40.864 103.200 7.420,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.247.840 2.000 46.623,0 42.720,0 41.984 105.472 11.713,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.295.840 2.000 44.647,0 42.752,0 41.824 104.896 6.864,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.736.928 2.000 41.868,0 40.416,0 39.712 99.328 6.250,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.788.672 2.000 43.394,0 43.136,0 40.352 101.952 6.187,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.845.632 2.000 43.922,0 42.848,0 40.000 100.960 5.263,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.912.192 2.000 43.456,0 41.792,0 41.088 102.464 7.577,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.712.736 2.000 44.356,0 44.000,0 40.864 104.320 7.287,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.129.344 2.000 41.564,0 40.448,0 39.648 103.584 5.626,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.481.312 2.000 43.740,0 42.720,0 41.056 104.128 6.362,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.490.944 2.000 44.245,0 41.536,0 40.608 2.012.736 44.718,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.560.992 2.000 44.280,0 43.968,0 40.864 102.048 5.491,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.393.312 2.000 43.196,0 41.920,0 40.128 103.488 7.244,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.519.072 2.000 46.759,0 45.856,0 42.496 107.744 6.014,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.360.864 2.000 45.180,0 42.688,0 39.968 1.545.344 34.416,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.129.440 2.000 41.564,0 40.416,0 38.880 101.152 6.691,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.872.736 2.000 45.436,0 42.880,0 42.048 1.915.488 42.503,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.637.952 2.000 42.819,0 41.408,0 40.576 102.880 6.094,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 82.184.768 2.000 41.092,0 39.776,0 39.008 98.848 6.431,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.968.352 2.000 42.984,0 40.512,0 39.616 1.919.168 42.459,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.171.584 2.000 45.585,0 43.456,0 42.752 107.328 8.121,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.960.032 2.000 44.480,0 43.392,0 41.632 106.592 6.452,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.554.976 2.000 44.277,0 43.200,0 41.536 105.184 6.194,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.414.240 2.000 43.207,0 41.536,0 40.800 102.880 6.969,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.104.736 2.000 43.552,0 41.152,0 39.584 102.304 9.709,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.339.168 2.000 42.669,0 41.952,0 40.224 103.616 5.259,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.094.464 2.000 43.547,0 42.688,0 41.216 107.232 5.533,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 81.474.848 2.000 40.737,0 39.328,0 38.432 919.584 20.312,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.493.664 2.000 46.246,0 43.040,0 41.376 103.904 11.313,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.173.056 2.000 43.586,0 42.048,0 41.248 103.904 5.860,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.254.336 2.000 43.127,0 42.176,0 40.320 104.480 5.572,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.237.888 2.000 45.118,0 43.648,0 40.352 103.968 6.864,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.309.504 2.000 43.654,0 42.112,0 40.320 103.936 6.737,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.427.616 2.000 42.713,0 40.928,0 39.936 950.880 21.171,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.408.032 2.000 44.704,0 43.808,0 42.080 109.216 5.378,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.505.376 2.000 45.252,0 43.424,0 40.608 1.759.648 38.933,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.321.504 2.000 42.660,0 40.256,0 39.392 1.750.496 38.720,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.167.904 2.000 43.584,0 42.272,0 41.376 103.552 6.025,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.287.200 2.000 44.643,0 42.976,0 42.144 106.432 7.300,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.385.472 2.000 42.192,0 41.088,0 39.488 101.632 6.751,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.354.976 2.000 43.677,0 42.432,0 40.832 103.712 7.533,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.976.736 2.000 43.988,0 42.688,0 40.992 102.944 6.640,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.594.336 2.000 43.797,0 41.984,0 41.120 103.616 7.600,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.997.056 2.000 45.998,0 45.696,0 42.304 105.952 6.535,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.876.064 2.000 44.438,0 44.096,0 40.992 103.520 5.629,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.134.784 2.000 43.567,0 41.952,0 39.840 102.336 7.407,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.944.192 2.000 43.472,0 43.232,0 40.224 100.384 5.345,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.305.696 2.000 43.152,0 41.024,0 40.000 100.448 7.614,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.506.592 2.000 43.753,0 42.912,0 41.216 105.952 5.562,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.621.248 2.000 42.810,0 41.600,0 40.960 103.488 5.839,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.026.080 2.000 47.013,0 45.360,0 42.080 1.912.832 45.854,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.269.888 2.000 43.634,0 42.176,0 41.152 102.976 6.778,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.097.184 2.000 43.548,0 42.208,0 40.480 103.168 6.837,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.771.456 2.000 45.385,0 43.072,0 41.216 107.872 9.023,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.741.472 2.000 43.870,0 42.464,0 41.600 104.480 6.905,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.695.616 2.000 44.347,0 43.808,0 40.960 102.944 5.369,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.222.112 2.000 45.111,0 44.128,0 41.312 1.024.256 22.986,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.252.032 2.000 42.626,0 42.112,0 39.712 99.232 5.474,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.011.456 2.000 43.005,0 41.568,0 40.832 103.072 5.792,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.148.864 2.000 42.074,0 40.576,0 39.712 100.160 6.798,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.403.968 2.000 45.202,0 43.616,0 42.848 107.584 7.456,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.947.808 2.000 43.473,0 41.952,0 40.288 105.696 8.024,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.587.456 2.000 43.293,0 41.856,0 41.120 104.224 6.770,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 83.967.968 2.000 41.984,0 39.968,0 39.104 1.915.680 42.217,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.756.832 2.000 43.378,0 42.720,0 40.992 77.120 3.482,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.127.392 2.000 45.063,0 44.384,0 41.344 103.680 6.102,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 95.484.544 2.000 47.742,0 43.104,0 40.928 1.918.496 43.164,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.090.656 2.000 43.045,0 42.272,0 39.392 101.888 5.043,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.783.680 2.000 43.891,0 41.824,0 40.960 102.336 8.163,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.732.608 2.000 44.366,0 41.600,0 40.128 101.984 7.200,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.868.768 2.000 43.934,0 42.752,0 41.920 105.408 5.918,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.873.056 2.000 43.436,0 42.208,0 41.440 126.080 6.306,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.620.736 2.000 47.310,0 42.400,0 41.536 106.496 13.300,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.723.200 2.000 44.361,0 43.584,0 40.448 103.776 5.398,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.966.208 2.000 44.983,0 42.432,0 41.184 103.328 7.914,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.386.496 2.000 45.693,0 43.744,0 42.976 108.448 7.573,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.856.032 2.000 42.428,0 41.792,0 39.392 99.328 6.484,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.091.648 2.000 44.045,0 42.240,0 40.608 2.161.440 47.709,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.720.384 2.000 43.360,0 42.656,0 39.424 100.640 6.498,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.073.344 2.000 43.536,0 42.528,0 40.864 105.088 5.732,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.457.920 2.000 45.729,0 40.960,0 39.968 100.288 12.103,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.072.704 2.000 44.536,0 42.656,0 40.192 100.928 8.479,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.609.536 2.000 42.304,0 41.632,0 39.424 100.320 6.474,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.937.344 2.000 42.968,0 41.632,0 40.864 103.392 6.605,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.534.368 2.000 42.267,0 41.472,0 39.936 103.424 5.490,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.586.944 2.000 42.793,0 41.344,0 40.512 102.752 6.953,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.055.904 2.000 43.528,0 41.792,0 40.288 1.424.608 31.575,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.636.512 2.000 43.818,0 42.496,0 40.704 103.840 6.577,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 81.377.344 2.000 40.688,0 39.872,0 38.304 102.272 5.604,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 92.131.680 2.000 46.065,0 45.696,0 42.272 105.024 6.343,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.911.712 2.000 44.955,0 43.072,0 41.120 1.899.360 41.905,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.511.328 2.000 44.255,0 42.688,0 40.992 997.504 22.261,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.048.960 2.000 44.024,0 41.312,0 40.544 830.368 19.725,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.992.608 2.000 44.496,0 43.008,0 40.992 102.816 5.862,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.788.064 2.000 42.394,0 40.160,0 39.008 98.720 7.978,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.359.936 2.000 42.680,0 40.928,0 39.936 101.728 6.739,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.421.792 2.000 44.210,0 44.000,0 41.056 103.296 5.718,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.970.848 2.000 43.485,0 42.304,0 40.704 103.520 5.902,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.966.912 2.000 45.983,0 45.600,0 42.368 106.528 5.804,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.386.720 2.000 45.193,0 44.096,0 40.864 102.720 6.284,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.063.328 2.000 43.531,0 42.960,0 39.552 101.824 4.828,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
