2,0 2.831.332.864 2.000 1.415.666,0 1.410.848,0 1.402.528 3.772.960 88.075,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.826.108.416 2.000 1.413.054,0 1.411.488,0 1.403.744 3.772.992 59.076,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.827.034.720 2.000 1.413.517,0 1.411.232,0 1.402.592 3.772.128 66.354,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.245.376 2.000 1.412.122,0 1.410.976,0 1.402.080 3.773.568 53.914,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.793.773.216 2.000 1.396.886,0 1.392.608,0 1.389.632 3.772.416 71.165,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.842.816.832 2.000 1.421.408,0 1.410.304,0 1.401.184 3.773.152 123.798,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.789.719.712 2.000 1.394.859,0 1.392.640,0 1.389.696 3.772.864 62.612,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.486.176 2.000 1.412.243,0 1.410.496,0 1.402.048 3.771.776 61.743,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.823.510.528 2.000 1.411.755,0 1.410.400,0 1.401.536 3.772.640 55.398,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.828.018.912 2.000 1.414.009,0 1.410.720,0 1.401.504 3.771.424 75.833,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.281.184 2.000 1.412.140,0 1.410.240,0 1.401.152 3.772.672 62.115,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.826.035.680 2.000 1.413.017,0 1.410.432,0 1.402.432 3.772.896 69.481,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.825.342.528 2.000 1.412.671,0 1.410.912,0 1.402.208 3.771.744 61.688,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.829.342.816 2.000 1.414.671,0 1.410.272,0 1.400.384 3.772.416 86.508,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.828.697.696 2.000 1.414.348,0 1.411.872,0 1.402.528 3.773.312 63.519,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.837.504.064 2.000 1.418.752,0 1.410.848,0 1.401.728 3.773.536 110.456,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.791.294.464 2.000 1.395.647,0 1.392.992,0 1.389.728 3.771.968 62.582,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.795.721.504 2.000 1.397.860,0 1.392.992,0 1.389.952 3.772.288 84.661,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.823.636.800 2.000 1.411.818,0 1.410.016,0 1.401.344 3.772.448 61.997,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.525.536 2.000 1.412.262,0 1.410.464,0 1.402.432 3.772.096 61.728,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.789.112.288 2.000 1.394.556,0 1.392.448,0 1.389.952 3.772.928 57.677,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.794.267.776 2.000 1.397.133,0 1.392.224,0 1.389.792 3.772.352 88.257,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.823.259.552 2.000 1.411.629,0 1.409.632,0 1.399.584 3.772.544 62.441,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.189.504 2.000 1.412.094,0 1.410.464,0 1.401.792 3.773.568 61.701,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.787.455.776 2.000 1.393.727,0 1.392.128,0 1.389.504 3.771.680 54.505,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.794.311.360 2.000 1.397.155,0 1.392.896,0 1.389.760 3.772.000 72.742,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.379.040 2.000 1.412.189,0 1.410.176,0 1.401.664 3.772.352 62.291,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 2.824.538.368 2.000 1.412.269,0 1.410.112,0 1.402.144 3.773.312 62.681,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
