1,0 1.678.942.656 6.000 279.823,0 278.592,0 276.480 2.230.912 30.283,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.143.232 6.000 279.357,0 279.104,0 276.992 665.056 8.656,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.740.320 6.000 279.623,0 279.264,0 277.056 655.072 10.799,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.358.560 6.000 279.059,0 278.816,0 276.704 686.272 8.710,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.998.976 6.000 276.166,0 275.424,0 272.736 650.272 13.221,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.689.596.704 6.000 281.599,0 278.784,0 277.024 665.152 30.934,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.979.520 6.000 275.829,0 275.488,0 272.928 649.312 9.819,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.334.592 6.000 279.222,0 278.880,0 276.640 651.104 10.746,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.531.392 6.000 279.421,0 279.168,0 276.832 657.280 8.465,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.680.649.760 6.000 280.108,0 279.200,0 277.248 1.137.056 19.474,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.339.584 6.000 278.889,0 278.496,0 276.544 653.152 10.875,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.163.104 6.000 279.027,0 278.464,0 276.544 656.480 13.593,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.548.992 6.000 279.424,0 279.040,0 277.152 670.336 10.912,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.895.904 6.000 279.649,0 278.656,0 276.640 1.373.536 21.890,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.684.917.664 6.000 280.819,0 280.064,0 277.792 2.216.384 26.971,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.685.158.464 6.000 280.859,0 278.944,0 276.800 655.072 26.185,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.733.248 6.000 275.288,0 274.880,0 271.968 653.088 9.922,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.655.139.008 6.000 275.856,0 274.944,0 272.416 654.112 17.573,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.219.456 6.000 279.203,0 278.336,0 276.352 1.976.896 30.888,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.054.336 6.000 279.009,0 278.720,0 276.384 650.208 9.618,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.469.984 6.000 275.245,0 274.944,0 272.512 668.160 9.013,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.827.392 6.000 275.804,0 275.136,0 272.864 654.304 15.351,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.586.784 6.000 279.431,0 278.944,0 277.152 653.024 11.912,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.484.480 6.000 279.080,0 278.784,0 276.640 651.072 9.675,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.506.016 6.000 275.251,0 275.008,0 272.864 665.888 8.674,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.489.504 6.000 275.581,0 274.720,0 272.096 654.400 15.003,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.204.512 6.000 279.034,0 278.688,0 276.544 644.832 9.720,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.992.384 6.000 279.332,0 278.944,0 276.640 660.832 9.942,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.048.128 6.000 279.341,0 278.560,0 275.616 2.222.944 27.201,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.114.720 6.000 279.019,0 278.752,0 276.512 649.440 8.627,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.956.832 6.000 275.659,0 275.232,0 272.672 671.584 10.181,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.864.352 6.000 275.810,0 275.552,0 272.000 648.320 9.715,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.678.944 6.000 279.446,0 279.136,0 276.736 646.656 8.560,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.981.472 6.000 275.496,0 275.104,0 272.384 651.520 10.936,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.680.013.376 6.000 280.002,0 279.008,0 276.704 1.356.960 21.709,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.944.544 6.000 278.990,0 278.592,0 276.288 652.576 10.960,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.749.568 6.000 279.624,0 279.232,0 276.928 648.832 10.796,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.919.904 6.000 279.653,0 278.912,0 276.864 2.208.960 27.596,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.788.736 6.000 279.131,0 278.816,0 276.704 650.336 9.716,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.416.416 6.000 279.069,0 278.848,0 276.768 684.960 8.583,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.677.488.288 6.000 279.581,0 278.720,0 276.768 1.735.360 23.279,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.688.845.376 6.000 281.474,0 278.784,0 276.800 651.552 30.781,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.813.664 6.000 278.802,0 278.560,0 276.480 654.624 8.458,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.362.752 6.000 278.727,0 278.400,0 276.352 652.320 9.774,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.090.944 6.000 276.015,0 275.232,0 272.544 649.760 10.227,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.679.450.656 6.000 279.908,0 278.496,0 276.128 652.544 22.377,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.788.768 6.000 275.464,0 275.104,0 272.480 652.096 9.964,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.917.152 6.000 278.986,0 278.752,0 276.672 656.416 8.448,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.574.112 6.000 278.762,0 278.496,0 276.480 656.704 8.532,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.607.488 6.000 278.934,0 278.592,0 276.736 647.456 10.736,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
