46,0 33.793.339.104 6.000 5.632.223,0 5.543.424,0 5.528.640 13.438.304 619.957,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 36.198.258.528 6.000 6.033.043,0 5.541.216,0 5.527.808 23.905.760 1.485.746,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 40.188.278.560 6.000 6.698.046,0 5.543.968,0 5.529.888 16.643.424 2.157.475,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.727.918.688 6.000 5.621.319,0 5.542.368,0 5.530.240 21.642.432 657.725,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 36.515.168.864 6.000 6.085.861,0 5.546.592,0 5.532.416 22.515.584 1.574.010,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 35.063.904.960 6.000 5.843.984,0 5.544.128,0 5.531.136 13.748.768 1.205.939,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.422.757.632 6.000 5.737.126,0 5.544.384,0 5.532.576 14.721.984 971.561,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 35.681.019.296 6.000 5.946.836,0 5.545.824,0 5.529.856 16.256.000 1.355.650,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.696.965.120 6.000 5.616.160,0 5.543.040,0 5.530.304 10.073.952 312.607,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 35.215.835.200 6.000 5.869.305,0 5.545.536,0 5.530.432 16.569.824 1.243.028,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.303.569.312 6.000 5.550.594,0 5.544.672,0 5.531.264 8.700.800 91.266,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 35.564.375.008 6.000 5.927.395,0 5.546.816,0 5.533.664 14.571.008 1.283.784,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 35.986.316.704 6.000 5.997.719,0 5.543.648,0 5.532.384 16.914.112 1.445.454,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.886.607.616 6.000 5.481.101,0 5.474.912,0 5.458.720 8.177.152 78.776,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.275.069.536 6.000 5.545.844,0 5.544.288,0 5.531.968 8.177.920 48.899,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.294.255.552 6.000 5.549.042,0 5.543.296,0 5.528.800 9.772.448 93.965,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.504.773.024 6.000 5.750.795,0 5.546.656,0 5.532.992 16.418.912 981.564,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.514.345.504 6.000 5.752.390,0 5.547.456,0 5.533.376 16.198.368 1.002.433,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.271.671.328 6.000 5.545.278,0 5.543.040,0 5.529.344 8.212.544 57.833,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.314.211.040 6.000 5.552.368,0 5.545.504,0 5.531.136 9.530.592 100.615,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.642.111.840 6.000 5.607.018,0 5.545.088,0 5.531.072 12.386.112 513.411,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.883.559.424 6.000 5.480.593,0 5.474.592,0 5.459.104 10.074.816 115.178,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.293.639.680 6.000 5.548.939,0 5.544.736,0 5.532.928 8.329.504 85.635,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.490.843.616 6.000 5.748.473,0 5.542.240,0 5.530.528 16.434.016 992.412,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.046.742.816 6.000 5.674.457,0 5.542.880,0 5.530.176 15.696.512 798.255,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 34.785.855.456 6.000 5.797.642,0 5.543.936,0 5.531.616 15.724.992 1.030.135,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.342.358.304 6.000 5.557.059,0 5.545.664,0 5.531.616 13.443.104 203.323,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.329.988.320 6.000 5.554.998,0 5.544.512,0 5.532.192 13.436.352 222.255,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.330.939.040 6.000 5.555.156,0 5.544.384,0 5.524.736 13.437.024 189.069,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.973.664 6.000 5.551.828,0 5.543.744,0 5.529.120 13.433.696 187.139,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.364.939.232 6.000 5.560.823,0 5.545.344,0 5.530.304 13.442.304 236.426,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.403.673.216 6.000 5.567.278,0 5.546.176,0 5.530.944 13.432.160 270.971,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.929.970.368 6.000 5.488.328,0 5.475.712,0 5.458.400 13.432.384 229.874,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.315.482.144 6.000 5.552.580,0 5.543.200,0 5.526.048 13.435.520 214.634,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.317.889.312 6.000 5.552.981,0 5.543.808,0 5.530.880 13.439.584 212.088,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.322.969.216 6.000 5.553.828,0 5.544.800,0 5.530.880 13.429.824 211.012,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.324.796.096 6.000 5.554.132,0 5.546.272,0 5.532.000 13.439.296 188.232,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.350.898.240 6.000 5.558.483,0 5.548.800,0 5.532.416 13.435.456 209.228,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.346.828.864 6.000 5.557.804,0 5.549.328,0 5.537.472 13.443.296 192.730,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.389.356.288 6.000 5.564.892,0 5.548.480,0 5.532.800 13.433.984 278.913,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.330.359.616 6.000 5.555.059,0 5.546.368,0 5.526.976 13.435.104 185.276,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.326.066.304 6.000 5.554.344,0 5.545.632,0 5.532.352 13.437.472 185.001,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.313.775.168 6.000 5.552.295,0 5.544.928,0 5.530.720 13.431.264 181.265,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.339.224.928 6.000 5.556.537,0 5.545.856,0 5.530.528 13.432.096 208.958,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.325.426.560 6.000 5.554.237,0 5.542.976,0 5.528.768 13.432.768 216.434,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.325.964.288 6.000 5.554.327,0 5.547.424,0 5.532.160 13.437.696 181.318,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.344.890.400 6.000 5.557.481,0 5.546.784,0 5.532.480 13.432.704 192.214,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 32.913.665.792 6.000 5.485.611,0 5.473.216,0 5.459.200 13.433.632 231.192,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.329.476.640 6.000 5.554.912,0 5.544.704,0 5.531.936 13.439.168 203.507,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.324.075.456 6.000 5.554.012,0 5.543.456,0 5.528.768 13.430.560 224.758,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.320.461.664 6.000 5.553.410,0 5.546.592,0 5.534.112 13.434.656 176.641,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.338.484.192 6.000 5.556.414,0 5.545.664,0 5.533.696 13.432.672 225.689,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.330.470.944 6.000 5.555.078,0 5.544.288,0 5.529.568 13.436.256 234.013,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.344.037.152 6.000 5.557.339,0 5.545.312,0 5.532.032 13.439.776 224.939,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.351.491.936 6.000 5.558.582,0 5.545.776,0 5.531.968 13.436.416 249.531,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.310.665.728 6.000 5.551.777,0 5.544.256,0 5.531.552 13.433.632 183.548,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
46,0 33.342.303.712 6.000 5.557.050,0 5.548.480,0 5.532.544 13.429.536 194.447,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *)
