2,0 1.456.904.928 2.000 728.452,0 714.496,0 710.144 4.053.888 172.971,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.549.712.192 2.000 774.856,0 714.368,0 709.856 6.567.616 440.730,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.741.397.024 2.000 870.698,0 714.496,0 710.176 6.659.520 711.382,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.446.606.400 2.000 723.303,0 714.496,0 710.464 4.599.808 169.836,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.543.227.744 2.000 771.613,0 714.976,0 711.040 6.492.736 413.510,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.510.554.432 2.000 755.277,0 714.720,0 710.784 6.493.888 369.912,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.484.141.952 2.000 742.071,0 714.656,0 710.560 5.058.208 275.884,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.525.209.920 2.000 762.605,0 714.944,0 710.656 8.042.048 384.803,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.444.841.632 2.000 722.420,0 714.560,0 709.952 2.393.440 100.589,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.510.636.288 2.000 755.318,0 714.896,0 710.624 5.633.152 347.073,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.663.488 2.000 715.831,0 714.784,0 710.688 1.535.552 22.039,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.546.921.408 2.000 773.460,0 715.008,0 710.144 5.586.752 417.177,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.547.242.176 2.000 773.621,0 714.528,0 709.696 5.506.944 387.422,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.413.018.944 2.000 706.509,0 705.696,0 703.296 1.155.648 11.935,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.429.619.136 2.000 714.809,0 714.720,0 710.304 964.928 5.689,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.430.586.016 2.000 715.293,0 714.640,0 710.080 1.140.896 12.044,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.489.180.448 2.000 744.590,0 715.040,0 711.232 5.071.648 271.812,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.481.210.624 2.000 740.605,0 715.072,0 711.136 4.437.888 249.950,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.429.342.272 2.000 714.671,0 714.592,0 710.432 966.912 5.737,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.106.624 2.000 715.553,0 714.880,0 710.400 1.141.600 12.396,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.437.528.256 2.000 718.764,0 714.848,0 710.240 3.086.528 75.786,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.412.894.400 2.000 706.447,0 705.664,0 703.552 1.426.688 17.895,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.115.168 2.000 715.557,0 714.784,0 710.272 1.510.656 20.871,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.486.246.432 2.000 743.123,0 714.464,0 710.752 5.744.992 289.759,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.467.207.552 2.000 733.603,0 714.592,0 709.472 6.671.520 269.743,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.509.369.952 2.000 754.685,0 714.592,0 710.400 6.589.568 333.240,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.933.088 2.000 716.966,0 714.976,0 710.912 2.322.272 46.451,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.425.152 2.000 716.212,0 714.688,0 710.752 1.902.080 35.032,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.587.200 2.000 716.293,0 714.688,0 710.144 1.902.592 32.458,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.620.160 2.000 715.810,0 714.560,0 710.240 1.903.200 31.547,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.344.768 2.000 717.172,0 714.880,0 710.720 2.212.160 48.351,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.437.203.392 2.000 718.601,0 715.008,0 710.720 2.181.440 56.963,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.415.712.576 2.000 707.856,0 705.920,0 703.552 1.903.008 35.801,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.504.288 2.000 716.252,0 714.720,0 710.112 1.902.400 35.063,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.160.064 2.000 716.080,0 714.592,0 710.432 1.903.840 35.043,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.941.344 2.000 716.470,0 714.944,0 711.040 1.903.488 35.050,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.290.048 2.000 716.145,0 715.008,0 711.232 1.903.232 31.426,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.121.440 2.000 716.560,0 715.264,0 711.264 1.902.432 31.759,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.066.464 2.000 716.533,0 715.360,0 711.232 1.903.008 31.416,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.436.281.984 2.000 718.141,0 715.232,0 710.240 1.903.840 49.039,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.731.296 2.000 716.365,0 715.072,0 710.592 1.903.648 31.499,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.452.480 2.000 716.226,0 714.944,0 709.728 1.902.784 31.684,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.169.280 2.000 716.084,0 714.848,0 710.880 1.903.040 31.674,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.808.448 2.000 716.404,0 714.880,0 706.592 1.903.680 32.337,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.777.408 2.000 716.388,0 714.656,0 709.760 1.903.072 35.479,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.744.608 2.000 716.372,0 715.232,0 710.912 1.903.136 31.259,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.480.448 2.000 717.240,0 715.088,0 711.104 1.964.384 42.597,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.414.850.560 2.000 707.425,0 705.664,0 703.584 1.904.512 35.758,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.185.024 2.000 716.092,0 714.720,0 710.400 1.902.208 32.030,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.277.184 2.000 716.138,0 714.656,0 709.888 1.902.208 34.810,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.829.344 2.000 715.914,0 715.040,0 711.008 1.903.904 27.668,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.690.336 2.000 716.345,0 714.848,0 710.240 1.902.368 34.987,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.771.136 2.000 716.385,0 714.848,0 710.816 1.902.560 35.009,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.423.040 2.000 716.711,0 714.912,0 710.464 1.903.328 35.717,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.686.752 2.000 716.843,0 714.944,0 711.136 1.903.712 38.351,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.220.480 2.000 716.110,0 714.864,0 710.464 1.903.808 31.754,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.851.520 2.000 716.425,0 715.200,0 705.984 1.902.688 31.493,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.431.798.080 2.000 715.899,0 714.880,0 710.592 1.901.920 28.796,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.824.448 2.000 716.412,0 715.072,0 710.752 1.902.080 31.611,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.641.344 2.000 716.820,0 714.976,0 710.720 1.902.528 38.335,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.104.960 2.000 716.552,0 714.784,0 710.624 1.903.040 40.658,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.677.760 2.000 716.338,0 714.848,0 710.176 1.902.560 35.046,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.780.320 2.000 717.390,0 715.200,0 704.416 1.903.744 36.402,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.434.120.224 2.000 717.060,0 714.784,0 710.208 1.903.008 39.009,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.432.637.792 2.000 716.318,0 714.816,0 710.528 1.902.176 35.044,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.433.199.232 2.000 716.599,0 715.136,0 710.240 1.902.912 34.865,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
2,0 1.437.742.368 2.000 718.871,0 715.264,0 711.104 1.902.720 51.526,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
