1,0 883.233.344 6.000 147.205,0 145.920,0 144.672 2.915.072 48.590,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 980.814.176 6.000 163.469,0 145.760,0 144.416 6.214.528 242.010,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.066.521.600 6.000 177.753,0 145.536,0 144.288 6.427.936 335.709,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 887.140.416 6.000 147.856,0 145.600,0 144.256 3.977.632 85.138,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 949.253.504 6.000 158.208,0 145.440,0 144.096 5.999.648 197.309,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 924.856.896 6.000 154.142,0 146.112,0 143.360 5.822.016 166.303,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 900.020.192 6.000 150.003,0 145.888,0 144.384 4.606.240 103.413,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 929.790.688 6.000 154.965,0 145.728,0 143.680 4.502.208 154.485,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.336.288 6.000 146.722,0 146.080,0 144.672 1.717.312 28.642,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 911.118.464 6.000 151.853,0 145.760,0 144.384 4.749.088 128.026,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.275.392 6.000 145.879,0 145.760,0 144.096 173.792 1.508,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 936.545.952 6.000 156.091,0 146.112,0 144.736 5.331.200 183.958,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 955.895.008 6.000 159.315,0 145.472,0 143.968 3.797.120 184.417,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.583.328 6.000 144.263,0 144.160,0 142.400 174.400 1.363,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.629.088 6.000 145.771,0 145.760,0 144.352 147.776 430,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.925.248 6.000 145.820,0 145.696,0 144.320 173.248 1.521,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 883.701.504 6.000 147.283,0 145.696,0 144.320 4.920.608 74.836,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 887.688.224 6.000 147.948,0 145.952,0 143.488 3.296.768 62.223,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
