37,0 6.886.713.312 6.000 1.147.785,0 1.123.584,0 1.110.976 2.630.880 119.102,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
38,0 6.997.327.680 6.000 1.166.221,0 1.126.176,0 1.113.792 4.029.024 133.114,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.038.240.416 6.000 1.173.040,0 1.124.256,0 1.111.744 2.466.080 148.912,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.835.473.568 6.000 1.139.245,0 1.122.288,0 1.113.184 3.147.520 122.264,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.973.455.648 6.000 1.162.242,0 1.136.992,0 1.111.520 2.465.952 125.235,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.943.480.256 6.000 1.157.246,0 1.136.320,0 1.117.600 2.452.160 120.826,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.860.199.872 6.000 1.143.366,0 1.123.008,0 1.111.104 2.612.320 118.544,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.922.593.216 6.000 1.153.765,0 1.135.584,0 1.126.560 2.459.552 124.349,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.930.675.712 6.000 1.155.112,0 1.123.392,0 1.110.368 2.459.744 148.833,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.970.000.160 6.000 1.161.666,0 1.123.552,0 1.110.048 5.220.000 177.527,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.882.292.960 6.000 1.147.048,0 1.124.096,0 1.115.104 2.454.272 114.432,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.506.143.040 6.000 1.251.023,0 1.167.232,0 1.152.896 4.367.872 266.839,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.933.441.632 6.000 1.155.573,0 1.137.120,0 1.127.296 2.460.800 124.271,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.861.439.264 6.000 1.143.573,0 1.123.168,0 1.113.952 2.451.328 110.425,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.056.482.144 6.000 1.176.080,0 1.177.152,0 1.125.824 2.464.640 122.269,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.848.342.848 6.000 1.141.390,0 1.122.048,0 1.111.584 4.365.408 135.828,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.890.450.016 6.000 1.148.408,0 1.124.128,0 1.111.904 4.381.984 141.541,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.433.387.136 6.000 1.238.897,0 1.167.936,0 1.115.808 2.704.992 179.454,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.857.096.992 6.000 1.142.849,0 1.122.560,0 1.113.984 2.595.744 134.059,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.941.385.792 6.000 1.156.897,0 1.136.320,0 1.125.600 2.448.992 110.453,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.891.681.792 6.000 1.148.613,0 1.121.872,0 1.110.912 3.534.816 158.192,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.960.262.240 6.000 1.160.043,0 1.121.952,0 1.111.392 2.456.512 196.488,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.936.644.512 6.000 1.156.107,0 1.136.736,0 1.127.456 3.055.232 133.508,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.073.127.584 6.000 1.178.854,0 1.163.488,0 1.109.952 3.233.408 151.320,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.992.911.840 6.000 1.165.485,0 1.125.632,0 1.114.752 2.455.424 149.670,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.977.235.040 6.000 1.162.872,0 1.123.760,0 1.113.696 3.478.496 152.582,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.921.730.528 6.000 1.153.621,0 1.122.784,0 1.114.656 2.459.584 167.125,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.578.536.064 6.000 1.263.089,0 1.167.808,0 1.154.304 4.394.912 292.068,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.856.034.112 6.000 1.142.672,0 1.122.368,0 1.109.152 4.042.944 122.855,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.934.717.312 6.000 1.155.786,0 1.125.248,0 1.110.304 6.146.816 151.866,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.976.832.800 6.000 1.162.805,0 1.136.608,0 1.126.944 4.051.264 150.707,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.968.616.896 6.000 1.161.436,0 1.127.632,0 1.115.008 4.376.032 128.196,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.979.136.160 6.000 1.163.189,0 1.122.032,0 1.110.400 2.457.408 197.217,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.045.677.952 6.000 1.174.279,0 1.136.672,0 1.127.040 2.456.032 173.560,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.857.859.008 6.000 1.142.976,0 1.121.600,0 1.110.112 2.583.520 125.509,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.896.248.800 6.000 1.149.374,0 1.124.032,0 1.110.912 3.493.952 115.790,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.866.399.200 6.000 1.144.399,0 1.122.624,0 1.110.656 4.375.648 121.035,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.917.699.104 6.000 1.152.949,0 1.124.016,0 1.111.520 2.461.216 117.242,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.937.130.272 6.000 1.156.188,0 1.124.864,0 1.112.960 2.536.768 128.131,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.970.713.952 6.000 1.161.785,0 1.156.816,0 1.111.552 4.369.280 126.988,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.917.433.600 6.000 1.152.905,0 1.135.712,0 1.124.832 3.567.904 122.519,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.913.474.400 6.000 1.152.245,0 1.124.448,0 1.111.744 2.594.208 119.535,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.004.161.536 6.000 1.167.360,0 1.135.712,0 1.125.888 4.241.504 171.800,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.869.962.496 6.000 1.144.993,0 1.122.816,0 1.109.632 2.457.696 125.691,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 6.836.790.304 6.000 1.139.465,0 1.121.568,0 1.111.424 2.454.848 122.997,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 7.017.215.424 6.000 1.169.535,0 1.123.424,0 1.111.936 7.332.352 190.540,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
