3,0 680.309.792 6.000 113.385,0 110.624,0 104.736 357.184 24.097,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.320.544 6.000 114.553,0 111.936,0 105.376 352.896 21.336,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 700.388.032 6.000 116.731,0 110.784,0 104.704 2.239.872 39.370,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 668.769.376 6.000 111.461,0 108.288,0 104.832 1.094.592 27.256,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 699.759.488 6.000 116.626,0 112.544,0 105.440 360.960 26.036,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 687.185.824 6.000 114.531,0 111.232,0 106.240 359.648 24.918,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.380.000 6.000 113.396,0 109.984,0 106.048 360.416 24.600,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 681.891.776 6.000 113.648,0 110.304,0 106.592 350.944 25.674,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 697.302.592 6.000 116.217,0 111.584,0 106.432 358.912 28.968,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 688.407.264 6.000 114.734,0 109.440,0 103.840 2.329.152 40.541,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 680.365.856 6.000 113.394,0 110.592,0 104.896 356.096 23.075,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 748.295.296 6.000 124.715,0 113.792,0 110.848 358.880 41.853,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 682.751.424 6.000 113.791,0 110.624,0 105.216 359.328 25.730,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 676.336.384 6.000 112.722,0 110.016,0 105.056 357.056 22.830,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
