0,0 167.600.320 2.000 83.800,0 81.184,0 79.776 204.512 10.667,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 173.359.872 2.000 86.679,0 81.600,0 80.288 205.536 11.275,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.423.808 2.000 87.711,0 83.264,0 81.696 215.136 14.424,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.219.648 2.000 83.109,0 81.440,0 80.448 211.040 11.083,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.274.016 2.000 87.637,0 83.712,0 81.600 210.592 12.400,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.752.608 2.000 84.876,0 82.368,0 80.864 210.048 11.576,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.808.704 2.000 84.404,0 82.496,0 81.472 209.760 11.316,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.632.128 2.000 83.316,0 81.632,0 80.544 202.624 10.949,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.751.584 2.000 84.875,0 81.824,0 80.544 209.696 13.604,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 171.118.272 2.000 85.559,0 81.600,0 80.320 208.224 14.619,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.976.224 2.000 83.988,0 81.280,0 80.320 204.128 10.759,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 190.217.568 2.000 95.108,0 89.280,0 87.808 204.672 19.801,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.971.904 2.000 84.986,0 83.104,0 82.080 210.080 11.723,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 166.576.896 2.000 83.288,0 80.736,0 79.712 205.952 10.514,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 175.884.096 2.000 87.942,0 89.792,0 81.376 206.528 10.912,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 165.967.232 2.000 82.983,0 81.120,0 80.096 206.784 12.023,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.225.632 2.000 84.612,0 82.048,0 80.544 209.888 12.152,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 184.168.640 2.000 92.084,0 87.936,0 79.776 204.256 13.435,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.810.688 2.000 83.905,0 81.920,0 80.960 206.592 12.356,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.041.760 2.000 84.020,0 81.600,0 80.544 201.248 9.993,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 167.999.392 2.000 83.999,0 81.664,0 80.544 206.080 13.802,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 168.641.696 2.000 84.320,0 81.088,0 80.160 205.536 16.750,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 169.479.776 2.000 84.739,0 82.880,0 81.888 208.384 12.370,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 177.417.184 2.000 88.708,0 89.184,0 80.128 206.368 13.258,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.793.568 2.000 86.396,0 81.504,0 80.256 204.768 12.649,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 172.592.256 2.000 86.296,0 81.792,0 80.544 202.592 12.222,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
