37,0 4.042.697.728 6.000 673.783,0 554.976,0 544.352 7.457.376 557.039,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.460.408.384 6.000 576.734,0 555.136,0 547.488 3.882.880 211.904,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.363.645.472 6.000 560.607,0 555.264,0 526.816 2.518.496 99.177,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.359.758.144 6.000 559.959,0 554.368,0 524.800 2.535.328 94.730,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.379.685.024 6.000 563.280,0 555.040,0 547.680 2.565.696 101.556,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.891.057.728 6.000 648.509,0 555.776,0 548.480 6.385.568 511.991,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.356.260.768 6.000 559.376,0 554.912,0 547.616 2.487.584 39.727,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.350.333.184 6.000 558.388,0 555.488,0 547.264 1.319.552 26.705,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.434.900.544 6.000 572.483,0 554.432,0 546.816 5.325.760 207.020,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.139.017.664 6.000 689.836,0 555.488,0 548.128 5.798.368 613.381,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.209.738.464 6.000 701.623,0 555.616,0 547.616 5.698.816 634.692,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 4.107.104.160 6.000 684.517,0 555.776,0 546.816 5.550.240 571.331,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.784.141.440 6.000 630.690,0 555.712,0 545.536 5.459.264 453.619,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.667.243.904 6.000 611.207,0 555.040,0 528.256 6.159.808 388.009,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.383.601.568 6.000 563.933,0 553.312,0 526.496 1.271.680 80.029,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.289.618.496 6.000 548.269,0 554.176,0 526.560 2.500.800 29.012,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.344.989.824 6.000 557.498,0 555.616,0 547.872 2.537.344 29.732,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.635.511.808 6.000 605.918,0 555.808,0 528.896 5.174.400 365.085,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
36,0 3.588.769.056 6.000 598.128,0 555.488,0 546.752 5.523.488 370.632,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.341.432.032 6.000 556.905,0 554.944,0 543.648 2.537.888 32.000,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
37,0 3.303.574.144 6.000 550.595,0 534.624,0 525.984 1.169.184 63.647,0 CUDA_KERNEL cuda_compute_flux(int, int *, float *, float *, float *, float *, float *, float *, float *)
