3,0 409.442.368 6.000 68.240,0 60.064,0 54.112 4.402.176 163.227,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 354.238.624 6.000 59.039,0 58.912,0 53.184 2.375.104 44.078,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 354.404.480 6.000 59.067,0 59.392,0 53.568 1.643.616 31.004,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 354.808.992 6.000 59.134,0 59.872,0 52.736 1.611.232 23.140,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 356.337.568 6.000 59.389,0 60.032,0 54.592 928.672 11.419,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 392.036.992 6.000 65.339,0 60.288,0 54.400 4.844.128 124.800,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 353.347.840 6.000 58.891,0 59.552,0 53.760 88.480 3.905,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 351.570.944 6.000 58.595,0 59.616,0 53.504 87.840 3.559,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 366.747.040 6.000 61.124,0 59.392,0 53.632 4.491.648 92.788,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 384.533.568 6.000 64.088,0 60.736,0 53.472 4.516.224 102.545,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 413.096.192 6.000 68.849,0 60.960,0 53.600 4.542.080 169.759,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 415.550.464 6.000 69.258,0 61.440,0 55.168 4.468.256 155.288,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 380.826.656 6.000 63.471,0 60.192,0 53.888 3.322.496 94.160,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 389.970.432 6.000 64.995,0 59.872,0 53.216 3.734.656 124.380,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 367.964.160 6.000 61.327,0 59.232,0 53.536 178.304 15.403,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 351.709.984 6.000 58.618,0 59.328,0 53.088 67.808 2.169,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 346.981.376 6.000 57.830,0 58.624,0 53.216 75.712 2.402,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 372.219.200 6.000 62.036,0 60.544,0 53.888 3.218.528 72.834,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 374.837.152 6.000 62.472,0 60.544,0 54.208 4.486.944 105.895,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 354.632.480 6.000 59.105,0 60.256,0 53.984 89.184 3.167,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 358.532.192 6.000 59.755,0 58.816,0 52.032 759.872 15.928,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 357.257.376 6.000 59.542,0 59.808,0 54.592 88.352 4.665,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 359.444.928 6.000 59.907,0 60.384,0 53.792 177.984 8.460,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 352.082.240 6.000 58.680,0 59.568,0 52.320 764.576 9.860,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 351.610.464 6.000 58.601,0 59.776,0 53.184 89.568 3.345,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 355.687.168 6.000 59.281,0 59.328,0 53.952 2.111.008 26.924,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 363.712.032 6.000 60.618,0 59.680,0 52.544 191.776 14.628,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 354.690.496 6.000 59.115,0 59.936,0 54.688 87.968 2.940,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 362.413.056 6.000 60.402,0 59.680,0 54.752 87.680 6.546,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 381.247.360 6.000 63.541,0 58.848,0 54.304 3.334.944 111.777,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 354.336.448 6.000 59.056,0 59.872,0 54.432 74.208 2.573,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 357.764.512 6.000 59.627,0 60.384,0 54.848 1.619.904 20.275,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
4,0 359.248.576 6.000 59.874,0 60.384,0 54.304 1.591.968 22.770,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 375.233.440 6.000 62.538,0 60.352,0 54.112 4.465.984 89.616,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
3,0 351.067.936 6.000 58.511,0 59.104,0 54.176 87.424 3.257,0 CUDA_KERNEL cuda_compute_flux_contributions(int, float *, float *, float *, float *, float *)
