0,0 98.029.696 2.000 49.014,0 41.760,0 40.800 3.456.832 143.911,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.731.328 2.000 42.865,0 41.280,0 40.384 3.154.464 69.614,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.321.440 2.000 42.160,0 41.856,0 39.424 907.136 19.364,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.281.536 2.000 43.640,0 42.496,0 39.808 1.623.520 39.112,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.663.808 2.000 42.831,0 42.752,0 42.016 61.312 771,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 97.574.976 2.000 48.787,0 43.264,0 42.368 4.827.648 146.422,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 86.067.488 2.000 43.033,0 42.720,0 41.888 71.200 2.136,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.046.464 2.000 44.023,0 43.808,0 43.040 71.968 1.812,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.673.568 2.000 44.336,0 44.192,0 43.392 73.312 1.513,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 98.170.592 2.000 49.085,0 42.144,0 41.216 4.396.288 141.655,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 94.684.480 2.000 47.342,0 42.368,0 41.472 2.706.912 110.506,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 96.060.768 2.000 48.030,0 43.904,0 42.720 4.783.008 119.318,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 91.044.160 2.000 45.522,0 43.264,0 42.624 2.101.216 59.420,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 97.291.296 2.000 48.645,0 44.736,0 41.632 2.767.904 91.540,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 88.721.184 2.000 44.360,0 43.680,0 41.024 100.096 6.299,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.057.760 2.000 43.528,0 44.192,0 41.376 53.120 1.174,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.883.904 2.000 42.942,0 42.848,0 41.984 61.824 1.025,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 88.956.416 2.000 44.478,0 42.656,0 40.096 2.035.200 56.329,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 91.679.264 2.000 45.839,0 44.640,0 44.032 1.150.144 34.273,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.035.584 2.000 41.517,0 41.376,0 40.704 69.632 1.358,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.245.664 2.000 41.622,0 40.400,0 39.488 96.000 4.842,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 89.457.536 2.000 44.728,0 44.176,0 43.104 71.680 2.884,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.678.208 2.000 45.339,0 44.928,0 44.000 101.664 3.082,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 84.780.896 2.000 42.390,0 41.920,0 41.152 72.800 2.053,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 87.434.528 2.000 43.717,0 43.552,0 42.656 72.224 1.520,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 94.117.056 2.000 47.058,0 46.560,0 45.440 75.328 2.973,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.067.936 2.000 42.034,0 41.728,0 39.392 96.288 5.661,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 90.895.232 2.000 45.447,0 45.248,0 44.448 73.824 1.492,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 93.586.176 2.000 46.793,0 45.664,0 44.672 74.048 4.306,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 89.277.312 2.000 44.638,0 42.720,0 40.352 3.225.760 71.199,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.856.352 2.000 43.428,0 43.296,0 42.400 60.288 1.057,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 86.659.488 2.000 43.329,0 42.496,0 41.632 1.615.456 35.179,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.624.768 2.000 41.812,0 41.152,0 40.256 856.672 18.303,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 94.221.312 2.000 47.110,0 43.616,0 42.656 3.627.488 93.979,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 84.783.840 2.000 42.391,0 42.144,0 41.248 70.656 1.837,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 91.320.032 2.000 45.660,0 45.472,0 44.512 73.184 1.574,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 85.980.480 2.000 42.990,0 42.560,0 40.448 97.472 3.281,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 97.496.896 2.000 48.748,0 41.920,0 40.960 3.229.856 126.019,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
0,0 83.864.224 2.000 41.932,0 41.760,0 40.832 70.304 1.520,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
1,0 85.611.648 2.000 42.805,0 43.136,0 40.320 59.776 1.544,0 CUDA_KERNEL cuda_compute_step_factor(int, float *, float *, float *)
