5,0 559.977.824 6.000 93.329,0 78.048,0 76.096 3.541.472 190.875,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 476.056.480 6.000 79.342,0 77.312,0 76.288 2.644.800 68.618,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 454.042.112 6.000 75.673,0 76.384,0 66.208 1.635.104 20.347,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 455.605.504 6.000 75.934,0 76.864,0 66.464 1.580.608 22.830,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.349.792 6.000 77.725,0 77.280,0 75.872 1.620.192 22.766,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 532.172.544 6.000 88.695,0 76.448,0 75.072 5.052.480 201.143,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.070.176 6.000 77.678,0 77.312,0 76.192 99.520 2.625,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 464.457.408 6.000 77.409,0 76.832,0 75.584 2.131.680 26.613,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 479.095.104 6.000 79.849,0 77.056,0 75.840 3.844.928 85.308,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 577.606.528 6.000 96.267,0 78.848,0 76.704 4.965.984 208.851,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 589.252.384 6.000 98.208,0 77.632,0 76.128 5.903.776 248.851,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 580.876.608 6.000 96.812,0 77.344,0 75.712 5.508.704 221.437,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 538.874.592 6.000 89.812,0 77.600,0 76.192 4.407.104 179.856,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 491.632.864 6.000 81.938,0 76.672,0 66.432 4.404.736 120.624,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 456.203.872 6.000 76.034,0 76.544,0 66.688 2.148.448 30.218,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 441.117.952 6.000 73.519,0 76.544,0 66.400 81.440 4.620,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 459.140.384 6.000 76.523,0 76.384,0 75.040 87.424 1.083,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 499.251.840 6.000 83.208,0 77.504,0 67.168 4.520.544 122.526,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 502.717.280 6.000 83.786,0 77.280,0 76.192 4.859.840 139.531,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.508.256 6.000 76.418,0 76.288,0 75.136 98.752 1.582,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 437.949.120 6.000 72.991,0 68.064,0 66.656 178.976 12.935,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.261.952 6.000 76.877,0 76.256,0 75.136 99.072 3.653,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 466.106.176 6.000 77.684,0 76.960,0 75.776 171.680 6.600,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
4,0 416.200.000 6.000 69.366,0 67.616,0 66.720 1.992.544 25.206,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 461.208.224 6.000 76.868,0 76.704,0 75.584 99.552 1.763,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 470.412.384 6.000 78.402,0 77.760,0 76.416 100.480 3.651,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 453.335.616 6.000 75.555,0 77.152,0 66.848 177.280 13.588,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 467.291.136 6.000 77.881,0 77.696,0 76.672 99.872 1.671,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 477.430.592 6.000 79.571,0 77.664,0 76.512 2.103.808 28.361,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 497.632.832 6.000 82.938,0 77.696,0 67.072 3.272.000 102.948,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
5,0 458.883.840 6.000 76.480,0 76.320,0 75.136 85.984 1.126,0 CUDA_KERNEL cuda_time_step(int, int, float *, float *, float *, float *)
