43,0 64.214.475.232 6.000 10.702.412,0 10.589.568,0 10.561.504 24.390.048 765.630,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.367.514.208 6.000 10.727.919,0 10.724.832,0 10.704.352 15.668.800 96.434,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.350.851.456 6.000 10.725.141,0 10.723.392,0 10.700.352 13.248.832 59.760,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.520.910.112 6.000 10.753.485,0 10.728.448,0 10.704.096 26.116.096 504.778,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.668.618.720 6.000 10.611.436,0 10.588.992,0 10.562.752 26.112.768 459.340,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.401.967.552 6.000 10.733.661,0 10.722.464,0 10.702.496 26.110.560 337.718,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.390.124.800 6.000 10.731.687,0 10.721.120,0 10.701.344 26.123.264 314.055,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.438.597.632 6.000 10.739.766,0 10.728.928,0 10.707.392 26.111.040 311.439,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.464.312.736 6.000 10.744.052,0 10.730.688,0 10.705.920 26.108.736 359.554,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.434.770.208 6.000 10.739.128,0 10.725.024,0 10.700.416 26.118.208 377.639,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.493.000.768 6.000 10.748.833,0 10.730.976,0 10.707.328 26.107.776 424.501,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.450.641.600 6.000 10.741.773,0 10.730.400,0 10.709.632 26.109.184 325.040,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.425.090.592 6.000 10.737.515,0 10.725.792,0 10.703.104 26.113.120 333.249,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.418.992.672 6.000 10.736.498,0 10.728.448,0 10.703.232 26.110.272 288.986,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.393.063.680 6.000 10.732.177,0 10.722.144,0 10.702.720 26.114.912 318.848,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.465.049.248 6.000 10.744.174,0 10.732.752,0 10.712.416 26.108.800 337.804,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.445.839.552 6.000 10.740.973,0 10.729.408,0 10.707.584 26.111.552 330.000,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.452.022.912 6.000 10.742.003,0 10.730.144,0 10.703.968 26.111.392 332.294,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.464.370.656 6.000 10.744.061,0 10.730.880,0 10.709.664 26.114.176 339.937,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.455.720.384 6.000 10.742.620,0 10.730.368,0 10.710.400 26.120.320 344.053,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.430.912.864 6.000 10.738.485,0 10.729.520,0 10.708.096 26.113.696 282.966,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.665.024.128 6.000 10.610.837,0 10.592.784,0 10.561.792 26.114.272 409.444,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.509.590.176 6.000 10.751.598,0 10.731.136,0 10.707.040 26.106.528 443.840,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.649.691.392 6.000 10.608.281,0 10.595.328,0 10.561.888 26.117.216 310.494,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.467.364.064 6.000 10.744.560,0 10.733.024,0 10.706.432 27.203.360 360.739,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.540.757.536 6.000 10.756.792,0 10.727.232,0 10.704.384 28.994.048 424.978,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.709.526.304 6.000 10.618.254,0 10.597.632,0 10.560.448 26.110.624 353.654,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.694.336.224 6.000 10.615.722,0 10.597.536,0 10.561.216 26.110.400 358.444,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.420.828.128 6.000 10.736.804,0 10.732.160,0 10.706.912 15.671.040 112.048,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.842.059.776 6.000 10.640.343,0 10.592.128,0 10.561.728 26.118.400 603.214,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.441.073.760 6.000 10.740.179,0 10.729.856,0 10.701.056 26.113.120 319.903,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.437.430.400 6.000 10.739.571,0 10.725.824,0 10.701.312 26.112.480 315.364,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.491.588.928 6.000 10.748.598,0 10.728.992,0 10.705.632 26.258.496 462.776,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.462.260.512 6.000 10.743.710,0 10.731.136,0 10.711.072 26.113.920 340.893,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.436.658.560 6.000 10.739.443,0 10.731.232,0 10.707.392 26.117.088 283.561,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.456.635.296 6.000 10.742.772,0 10.728.352,0 10.703.008 27.069.632 401.871,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.474.946.272 6.000 10.745.824,0 10.730.496,0 10.709.504 26.112.896 395.565,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.442.841.312 6.000 10.740.473,0 10.727.440,0 10.703.136 33.659.808 403.598,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.429.169.600 6.000 10.738.194,0 10.723.584,0 10.702.240 26.115.776 408.107,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.426.245.824 6.000 10.737.707,0 10.724.576,0 10.705.824 26.105.632 358.941,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.467.392.768 6.000 10.744.565,0 10.734.272,0 10.702.880 32.061.632 353.479,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.476.040.544 6.000 10.746.006,0 10.731.936,0 10.706.016 26.107.392 350.039,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.446.689.824 6.000 10.741.115,0 10.731.264,0 10.710.304 28.062.688 323.024,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.514.839.808 6.000 10.752.473,0 10.728.416,0 10.708.160 26.270.816 511.381,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.421.877.568 6.000 10.736.979,0 10.726.304,0 10.703.872 26.116.352 319.463,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.492.353.376 6.000 10.748.725,0 10.733.472,0 10.712.032 26.110.592 397.424,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.487.047.712 6.000 10.747.841,0 10.736.320,0 10.711.552 26.984.096 358.391,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.447.741.728 6.000 10.741.290,0 10.731.344,0 10.709.440 33.474.976 365.275,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.453.923.840 6.000 10.742.320,0 10.732.896,0 10.712.000 30.610.592 335.884,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.495.464.160 6.000 10.749.244,0 10.728.032,0 10.704.320 26.333.824 486.857,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.671.532.320 6.000 10.611.922,0 10.598.144,0 10.562.368 26.110.336 352.883,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.456.202.784 6.000 10.742.700,0 10.732.704,0 10.710.816 26.122.464 309.007,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.464.256.384 6.000 10.744.042,0 10.733.760,0 10.709.824 26.113.664 308.679,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.461.006.848 6.000 10.743.501,0 10.728.736,0 10.701.472 28.089.056 390.089,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.443.951.616 6.000 10.740.658,0 10.725.568,0 10.704.640 26.109.568 385.781,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.474.653.888 6.000 10.745.775,0 10.731.168,0 10.703.104 26.120.864 380.645,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.656.023.008 6.000 10.609.337,0 10.590.240,0 10.563.072 27.079.680 448.101,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.493.021.088 6.000 10.748.836,0 10.738.720,0 10.711.776 26.113.728 312.729,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.634.105.696 6.000 10.605.684,0 10.592.192,0 10.559.936 26.114.592 316.065,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.605.087.136 6.000 10.600.847,0 10.590.944,0 10.562.304 26.114.720 312.350,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.478.013.440 6.000 10.746.335,0 10.734.944,0 10.712.832 26.111.648 343.381,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.458.315.744 6.000 10.743.052,0 10.732.288,0 10.710.752 26.114.400 329.250,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.493.400.384 6.000 10.748.900,0 10.736.608,0 10.713.792 26.117.184 346.105,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.671.298.528 6.000 10.611.883,0 10.599.264,0 10.561.728 26.117.280 347.337,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.481.644.992 6.000 10.746.940,0 10.733.984,0 10.711.360 26.110.976 357.738,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.462.900.064 6.000 10.743.816,0 10.733.120,0 10.707.456 26.113.120 323.944,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.431.096.672 6.000 10.738.516,0 10.729.792,0 10.704.672 26.116.096 285.988,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.501.125.312 6.000 10.750.187,0 10.730.768,0 10.705.472 26.245.184 459.203,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.631.093.568 6.000 10.605.182,0 10.593.728,0 10.558.656 26.115.072 312.017,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.437.914.176 6.000 10.739.652,0 10.729.056,0 10.706.976 26.108.800 320.107,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.492.432.992 6.000 10.748.738,0 10.731.712,0 10.708.160 26.108.768 411.313,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.507.059.712 6.000 10.751.176,0 10.732.736,0 10.705.568 26.109.952 431.562,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.561.347.968 6.000 10.760.224,0 10.730.480,0 10.706.528 26.119.168 394.558,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.670.594.784 6.000 10.611.765,0 10.596.480,0 10.561.920 26.108.576 366.295,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.444.984.320 6.000 10.740.830,0 10.725.568,0 10.705.440 26.117.696 348.326,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 63.640.664.512 6.000 10.606.777,0 10.589.152,0 10.562.688 27.059.296 429.164,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.448.412.032 6.000 10.741.402,0 10.727.456,0 10.706.144 26.111.680 374.153,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.431.509.696 6.000 10.738.584,0 10.726.208,0 10.705.536 27.074.592 364.579,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 64.453.987.712 6.000 10.742.331,0 10.726.656,0 10.705.760 27.782.048 420.846,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
