1,0 2.812.649.440 2.000 1.406.324,0 1.392.672,0 1.389.824 6.359.936 178.424,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.822.055.776 2.000 1.411.027,0 1.410.688,0 1.402.272 2.263.168 19.292,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.821.214.592 2.000 1.410.607,0 1.410.496,0 1.401.216 1.911.872 11.373,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.829.515.552 2.000 1.414.757,0 1.411.424,0 1.402.592 3.771.808 75.342,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.791.983.712 2.000 1.395.991,0 1.392.640,0 1.389.824 3.772.704 70.618,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.121.312 2.000 1.412.560,0 1.410.560,0 1.402.304 3.772.832 61.740,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.823.441.344 2.000 1.411.720,0 1.410.304,0 1.401.984 3.774.240 53.984,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.865.024 2.000 1.412.932,0 1.411.328,0 1.402.656 3.772.000 54.591,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.397.632 2.000 1.414.198,0 1.411.520,0 1.402.528 3.772.672 68.746,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.935.488 2.000 1.412.967,0 1.411.008,0 1.403.872 3.771.744 61.578,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.828.471.168 2.000 1.414.235,0 1.411.552,0 1.402.368 3.772.864 68.826,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.827.198.400 2.000 1.413.599,0 1.411.680,0 1.403.328 3.773.824 61.680,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 2.825.980.960 2.000 1.412.990,0 1.411.040,0 1.402.560 3.773.632 61.690,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
