0,0 292.800 3 97.600,0 96.640,0 91.744 104.416 6.390,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 317.856 3 105.952,0 104.576,0 99.904 113.376 6.840,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 300.288 3 100.096,0 97.696,0 96.512 106.080 5.216,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 628.896 3 209.632,0 209.632,0 199.488 219.776 10.144,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.280 3 213.760,0 209.696,0 207.520 224.064 8.989,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 636.448 3 212.149,0 210.048,0 208.512 217.888 5.028,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.544 3 213.514,0 211.072,0 208.128 221.344 6.938,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 655.424 3 218.474,0 217.440,0 217.312 220.672 1.904,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.408 3 212.469,0 211.904,0 208.640 216.864 4.141,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.120 3 213.706,0 212.544,0 208.800 219.776 5.579,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 633.344 3 211.114,0 208.384,0 207.520 217.440 5.494,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.472 3 213.824,0 210.208,0 209.216 222.048 7.139,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.712 3 214.570,0 210.592,0 210.464 222.656 7.002,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 632.832 3 210.944,0 212.448,0 203.776 216.608 6.546,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.856 3 213.952,0 209.792,0 208.768 223.296 8.108,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 634.816 3 211.605,0 209.408,0 207.904 217.504 5.163,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 635.072 3 211.690,0 208.064,0 207.520 219.488 6.758,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.720 3 214.240,0 213.184,0 208.224 221.312 6.607,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.776 3 213.258,0 212.096,0 209.632 218.048 4.326,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.248 3 213.749,0 210.592,0 208.256 222.400 7.582,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.688 3 214.229,0 211.680,0 210.336 220.672 5.619,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.088 3 215.029,0 211.488,0 210.752 222.848 6.781,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.056 3 215.018,0 211.360,0 209.952 223.744 7.589,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 632.384 3 210.794,0 213.024,0 201.024 218.336 8.868,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 650.400 3 216.800,0 215.104,0 211.264 224.032 6.550,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.336 3 212.778,0 208.832,0 208.192 221.312 7.397,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.720 3 214.240,0 211.744,0 209.888 221.088 6.002,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.096 3 213.365,0 210.368,0 209.216 220.512 6.215,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 318.656 3 106.218,0 107.168,0 100.448 111.040 5.359,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.208 3 215.402,0 212.256,0 210.432 223.520 7.088,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.944 3 212.981,0 212.064,0 208.000 218.880 5.497,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.728 3 213.909,0 210.848,0 208.608 222.272 7.328,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 647.584 3 215.861,0 215.584,0 209.792 222.208 6.212,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 635.776 3 211.925,0 209.952,0 208.320 217.504 4.899,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.360 3 213.120,0 211.008,0 207.776 220.576 6.656,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.008 3 213.002,0 209.984,0 208.192 220.832 6.839,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.424 3 213.141,0 209.888,0 209.632 219.904 5.858,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.560 3 212.853,0 211.520,0 207.360 219.680 6.267,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.888 3 212.629,0 210.592,0 208.192 219.104 5.734,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.792 3 213.930,0 211.136,0 211.008 219.648 4.951,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.368 3 214.122,0 212.320,0 210.144 219.904 5.123,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.216 3 213.738,0 210.432,0 208.928 221.856 7.069,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 685.664 3 228.554,0 231.936,0 219.840 233.888 7.610,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 634.624 3 211.541,0 209.472,0 207.840 217.312 5.063,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.672 3 213.557,0 210.432,0 207.552 222.688 8.037,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.848 3 214.282,0 210.976,0 210.720 221.152 5.950,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.816 3 212.938,0 211.296,0 209.792 217.728 4.215,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.616 3 214.538,0 212.256,0 207.200 224.160 8.707,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.880 3 214.293,0 212.960,0 209.408 220.512 5.670,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 647.616 3 215.872,0 213.600,0 211.488 222.528 5.860,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.096 3 214.698,0 210.912,0 210.592 222.592 6.837,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.600 3 212.533,0 209.024,0 207.104 221.472 7.800,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.336 3 214.112,0 212.224,0 208.928 221.184 6.342,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.232 3 213.077,0 216.000,0 204.128 219.104 7.904,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 652.448 3 217.482,0 211.232,0 209.504 231.712 12.353,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 648.576 3 216.192,0 214.400,0 211.456 222.720 5.841,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.424 3 213.141,0 211.520,0 209.856 218.048 4.330,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.368 3 212.789,0 211.392,0 208.128 218.848 5.494,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.064 3 213.354,0 210.528,0 210.176 219.360 5.203,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 623.264 3 207.754,0 205.728,0 199.552 217.984 9.381,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.384 3 213.461,0 211.520,0 209.952 218.912 4.785,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.688 3 212.896,0 208.768,0 208.416 221.504 7.456,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.600 3 212.533,0 211.488,0 208.928 217.184 4.226,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.624 3 215.541,0 214.240,0 212.256 220.128 4.094,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.696 3 213.898,0 213.216,0 210.688 217.792 3.600,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.480 3 213.493,0 210.208,0 209.760 220.512 6.082,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.440 3 215.146,0 212.064,0 211.968 221.408 5.422,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.848 3 214.282,0 211.968,0 209.120 221.760 6.630,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.432 3 214.144,0 210.400,0 209.984 222.048 6.848,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.560 3 214.186,0 211.840,0 208.352 222.368 7.296,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.648 3 213.216,0 210.720,0 209.440 219.488 5.469,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.840 3 213.280,0 209.600,0 207.648 222.592 8.123,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.448 3 213.482,0 210.176,0 207.392 222.880 8.256,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 650.304 3 216.768,0 214.272,0 211.552 224.480 6.815,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 635.584 3 211.861,0 209.344,0 206.976 219.264 6.519,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 647.840 3 215.946,0 211.232,0 209.280 227.328 9.904,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.560 3 214.186,0 211.488,0 209.248 221.824 6.708,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.328 3 213.109,0 210.656,0 207.552 221.120 7.108,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.352 3 213.450,0 211.328,0 208.704 220.320 6.092,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.872 3 214.624,0 211.904,0 211.840 220.128 4.766,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.648 3 214.549,0 212.160,0 210.976 220.512 5.197,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 637.600 3 212.533,0 210.080,0 208.608 218.912 5.572,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.816 3 215.605,0 213.696,0 213.280 219.840 3.673,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.008 3 214.336,0 212.000,0 209.824 221.184 6.029,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.040 3 214.346,0 209.792,0 209.536 223.712 8.111,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.544 3 213.514,0 210.400,0 209.120 221.024 6.534,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.720 3 215.573,0 215.136,0 207.840 223.744 7.961,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 627.904 3 209.301,0 210.816,0 206.112 210.976 2.763,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.336 3 212.778,0 210.912,0 208.000 219.424 5.936,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 636.640 3 212.213,0 210.144,0 209.824 216.672 3.864,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 646.976 3 215.658,0 211.424,0 208.640 226.912 9.844,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 635.488 3 211.829,0 210.720,0 209.280 215.488 3.249,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.896 3 214.965,0 213.664,0 208.384 222.848 7.319,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 645.600 3 215.200,0 213.024,0 208.384 224.192 8.125,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.176 3 214.058,0 210.880,0 208.736 222.560 7.440,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.456 3 213.152,0 210.048,0 207.264 222.144 7.910,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.192 3 213.397,0 211.584,0 209.504 219.104 5.050,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 643.488 3 214.496,0 211.616,0 208.608 223.264 7.740,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.784 3 212.928,0 211.360,0 208.480 218.944 5.405,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 624.032 3 208.010,0 205.952,0 199.200 218.880 10.000,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.888 3 213.962,0 212.704,0 208.192 220.992 6.492,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.960 3 213.653,0 209.888,0 208.576 222.496 7.686,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.424 3 213.141,0 212.064,0 208.352 219.008 5.409,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 644.096 3 214.698,0 211.392,0 208.128 224.576 8.708,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.280 3 213.760,0 211.456,0 208.096 221.728 7.102,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 636.128 3 212.042,0 209.120,0 207.936 219.072 6.116,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 639.168 3 213.056,0 208.640,0 207.776 222.752 8.408,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 640.256 3 213.418,0 211.072,0 208.864 220.320 6.077,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 638.016 3 212.672,0 210.304,0 208.704 219.008 5.545,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 647.136 3 215.712,0 213.984,0 211.296 221.856 5.488,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 658.304 3 219.434,0 218.688,0 216.640 222.976 3.233,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.880 3 214.293,0 211.552,0 209.280 222.048 6.811,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 642.272 3 214.090,0 213.376,0 208.224 220.672 6.254,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
0,0 641.056 3 213.685,0 212.896,0 207.840 220.320 6.277,0 CUDA_KERNEL cuda_initialize_variables(int, double *)
