1,0 1.663.775.072 6.000 277.295,0 275.360,0 272.800 2.305.952 52.822,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.060.352 6.000 278.510,0 278.464,0 276.224 327.328 1.225,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.669.571.168 6.000 278.261,0 278.240,0 276.256 281.088 619,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.053.312 6.000 279.008,0 278.240,0 276.128 641.952 16.186,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.795.424 6.000 275.799,0 275.168,0 272.512 642.848 14.329,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.331.584 6.000 279.055,0 278.752,0 276.672 642.624 9.507,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.235.584 6.000 278.372,0 278.112,0 275.968 646.080 8.330,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.975.200 6.000 278.662,0 278.432,0 276.192 650.592 7.107,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.688.544 6.000 278.948,0 278.624,0 276.544 639.264 9.740,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.513.632 6.000 278.585,0 278.144,0 276.192 641.824 11.493,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.593.952 6.000 278.932,0 278.432,0 276.352 659.776 12.587,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.298.368 6.000 279.049,0 278.784,0 276.416 640.864 8.377,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.052.672 6.000 279.175,0 278.848,0 276.832 641.888 9.465,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.605.312 6.000 278.767,0 278.592,0 273.088 665.376 7.025,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.671.602.496 6.000 278.600,0 278.368,0 276.224 644.832 8.304,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.991.072 6.000 278.831,0 278.528,0 276.224 642.144 9.443,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.778.144 6.000 278.963,0 278.656,0 276.576 643.744 9.479,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.705.120 6.000 279.450,0 279.168,0 276.960 646.432 8.487,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.117.952 6.000 278.853,0 278.496,0 276.192 643.616 9.651,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.178.496 6.000 279.029,0 278.720,0 276.576 647.488 9.515,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.892.384 6.000 278.482,0 278.272,0 276.256 639.776 6.831,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.922.624 6.000 275.653,0 275.136,0 272.416 641.024 12.576,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.798.816 6.000 279.466,0 278.656,0 276.224 1.368.160 19.896,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.652.029.504 6.000 275.338,0 275.072,0 272.256 638.560 7.328,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.810.464 6.000 278.801,0 278.528,0 276.128 668.608 8.767,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.941.536 6.000 279.323,0 278.592,0 276.096 646.304 10.625,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.824.512 6.000 275.304,0 274.848,0 271.904 639.264 9.730,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.189.216 6.000 275.531,0 275.136,0 272.384 652.704 9.800,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.121.568 6.000 279.186,0 279.104,0 277.120 326.816 1.483,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.656.652.032 6.000 276.108,0 274.720,0 272.032 641.984 19.624,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.536.608 6.000 278.756,0 278.528,0 276.224 642.240 8.218,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.182.688 6.000 278.697,0 278.336,0 276.128 641.632 8.547,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.189.440 6.000 279.031,0 278.464,0 276.288 645.472 13.426,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.625.408 6.000 278.770,0 278.432,0 276.096 640.160 9.518,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.268.544 6.000 278.711,0 278.528,0 276.416 646.464 6.780,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.921.536 6.000 279.153,0 278.784,0 276.256 640.000 10.488,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.019.040 6.000 279.003,0 278.560,0 276.384 645.152 11.621,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.328.288 6.000 279.221,0 278.912,0 276.672 656.576 9.634,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.586.304 6.000 278.931,0 278.528,0 276.576 661.024 10.702,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.670.891.648 6.000 278.481,0 278.144,0 276.128 654.368 9.563,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.354.240 6.000 279.225,0 278.656,0 275.200 2.654.144 31.454,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.504.608 6.000 279.084,0 278.752,0 276.224 648.512 9.028,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.293.536 6.000 278.715,0 278.464,0 276.288 673.728 8.477,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.232.256 6.000 279.205,0 278.528,0 276.448 653.664 14.984,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.646.944 6.000 278.774,0 278.496,0 276.416 650.912 8.363,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.902.560 6.000 278.983,0 278.592,0 276.512 654.080 11.030,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.886.656 6.000 278.814,0 278.560,0 276.352 647.808 8.397,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.390.688 6.000 279.065,0 278.880,0 276.928 641.728 6.912,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.116.448 6.000 279.019,0 278.688,0 276.672 1.039.552 11.993,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.739.296 6.000 279.289,0 278.656,0 276.384 663.904 14.229,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.651.283.968 6.000 275.214,0 274.880,0 272.096 642.208 9.795,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.006.880 6.000 279.001,0 278.752,0 276.512 639.328 8.183,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.672.570.688 6.000 278.761,0 278.560,0 276.384 641.184 6.969,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.279.936 6.000 279.046,0 278.656,0 276.544 656.192 10.847,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.559.456 6.000 278.926,0 278.528,0 276.608 643.808 10.682,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.286.592 6.000 279.047,0 278.656,0 276.672 644.384 10.628,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.650.619.712 6.000 275.103,0 274.656,0 272.160 639.424 11.855,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.676.297.280 6.000 279.382,0 279.136,0 276.672 660.032 8.316,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.654.700.256 6.000 275.783,0 275.296,0 272.480 1.347.136 16.158,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.003.680 6.000 275.500,0 275.040,0 272.608 1.739.200 20.640,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.675.466.208 6.000 279.244,0 278.912,0 276.544 648.096 9.611,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.673.128.288 6.000 278.854,0 278.592,0 276.544 646.112 8.380,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.674.092.896 6.000 279.015,0 278.720,0 276.672 646.688 9.483,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 1.653.330.880 6.000 275.555,0 275.232,0 272.352 648.288 9.696,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
