43,0 32.149.092.640 6.000 5.358.182,0 5.330.400,0 5.309.696 14.973.376 379.206,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.060.511.328 6.000 5.343.418,0 5.328.576,0 5.309.920 13.130.464 263.479,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.059.347.168 6.000 5.343.224,0 5.329.536,0 5.310.400 13.141.088 244.731,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.487.464.192 6.000 5.414.577,0 5.398.432,0 5.381.216 13.129.792 274.470,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.496.195.520 6.000 5.416.032,0 5.398.016,0 5.310.816 13.132.256 389.866,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.487.099.616 6.000 5.414.516,0 5.397.408,0 5.384.320 13.137.856 257.278,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.176.673.376 6.000 5.362.778,0 5.330.464,0 5.308.640 13.686.720 414.877,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.094.112.928 6.000 5.349.018,0 5.330.656,0 5.309.376 13.131.712 275.356,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.610.462.720 6.000 5.435.077,0 5.400.064,0 5.382.816 13.135.328 403.151,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.549.188.736 6.000 5.424.864,0 5.397.728,0 5.382.240 13.124.960 324.489,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.497.745.888 6.000 5.416.291,0 5.398.112,0 5.383.552 13.144.064 283.718,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.514.109.664 6.000 5.419.018,0 5.400.768,0 5.386.208 13.132.512 291.376,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.206.411.616 6.000 5.367.735,0 5.333.056,0 5.309.056 13.129.952 415.476,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.085.051.456 6.000 5.347.508,0 5.330.656,0 5.308.736 13.132.096 255.904,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.113.451.296 6.000 5.352.241,0 5.332.352,0 5.310.944 13.129.216 313.933,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.568.103.392 6.000 5.428.017,0 5.400.016,0 5.384.352 16.664.480 390.997,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.493.063.488 6.000 5.415.510,0 5.401.888,0 5.386.720 13.130.592 253.442,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.088.912.896 6.000 5.348.152,0 5.331.456,0 5.310.464 13.135.200 271.519,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.595.686.048 6.000 5.432.614,0 5.402.656,0 5.387.584 13.128.640 370.861,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.499.797.632 6.000 5.416.632,0 5.397.984,0 5.379.552 13.124.000 293.136,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.520.232.544 6.000 5.420.038,0 5.400.160,0 5.384.320 13.126.624 310.488,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.509.909.280 6.000 5.418.318,0 5.398.368,0 5.385.536 13.124.928 256.566,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.546.152.096 6.000 5.424.358,0 5.400.448,0 5.383.552 13.513.216 345.962,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.106.867.072 6.000 5.351.144,0 5.329.728,0 5.310.240 13.130.048 273.878,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.518.330.240 6.000 5.419.721,0 5.396.656,0 5.381.792 13.126.432 331.833,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.061.205.824 6.000 5.343.534,0 5.327.680,0 5.309.440 13.132.544 271.619,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.468.517.568 6.000 5.411.419,0 5.398.464,0 5.384.576 13.130.464 241.145,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.072.224.000 6.000 5.345.370,0 5.331.712,0 5.310.528 13.128.672 253.788,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.546.393.632 6.000 5.424.398,0 5.402.048,0 5.386.176 13.132.128 325.265,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.247.613.472 6.000 5.374.602,0 5.331.984,0 5.309.088 13.124.640 384.449,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.130.178.816 6.000 5.355.029,0 5.331.264,0 5.310.272 13.132.416 328.455,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.061.320.960 6.000 5.343.553,0 5.329.120,0 5.309.664 13.131.936 239.142,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.546.209.856 6.000 5.424.368,0 5.401.920,0 5.386.624 13.517.888 326.857,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.559.914.176 6.000 5.426.652,0 5.400.704,0 5.386.016 13.688.192 369.189,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.483.546.560 6.000 5.413.924,0 5.401.760,0 5.383.232 13.121.920 228.870,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.305.688.768 6.000 5.384.281,0 5.331.536,0 5.310.656 13.682.112 512.588,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.128.438.720 6.000 5.354.739,0 5.329.952,0 5.311.744 13.133.824 349.239,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.517.294.048 6.000 5.419.549,0 5.401.600,0 5.382.848 13.128.864 259.110,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.471.798.304 6.000 5.411.966,0 5.399.680,0 5.383.296 13.126.048 230.597,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.549.762.144 6.000 5.424.960,0 5.401.408,0 5.385.664 13.132.512 266.000,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.479.592.928 6.000 5.413.265,0 5.399.392,0 5.384.672 13.141.088 249.166,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.110.204.320 6.000 5.351.700,0 5.329.408,0 5.309.856 13.134.528 325.870,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.101.366.976 6.000 5.350.227,0 5.330.976,0 5.309.312 13.124.672 301.562,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
43,0 32.513.817.664 6.000 5.418.969,0 5.399.712,0 5.383.520 13.126.016 241.977,0 CUDA_KERNEL cuda_compute_flux(int, int *, double *, double *, double *, double *, double *, double *, double *)
