3,0 2.338.589.472 6.000 389.764,0 387.392,0 385.312 2.517.792 40.110,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.329.936.032 6.000 388.322,0 387.200,0 385.120 1.265.280 22.711,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.330.166.816 6.000 388.361,0 387.328,0 385.088 1.266.752 21.668,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.598.208 6.000 393.766,0 392.256,0 388.160 1.906.752 30.489,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.355.680 6.000 393.559,0 392.032,0 383.936 1.266.848 30.633,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.087.040 6.000 393.681,0 392.128,0 389.216 1.476.448 26.430,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.339.432.288 6.000 389.905,0 387.328,0 385.152 1.474.432 34.299,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.332.822.784 6.000 388.803,0 387.392,0 385.120 1.267.168 23.587,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.365.300.064 6.000 394.216,0 391.872,0 387.584 1.262.816 31.583,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.214.848 6.000 393.702,0 391.776,0 387.360 1.725.696 31.086,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.357.518.464 6.000 392.919,0 391.872,0 386.880 1.264.320 23.649,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.895.904 6.000 393.816,0 392.416,0 389.184 1.266.720 24.484,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.340.826.368 6.000 390.137,0 387.616,0 385.088 1.267.680 32.362,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.327.502.720 6.000 387.917,0 387.040,0 382.944 1.261.952 22.366,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.429.696 6.000 389.238,0 387.552,0 385.248 1.466.368 29.226,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.368.042.624 6.000 394.673,0 392.416,0 389.120 1.436.832 32.211,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.361.768.384 6.000 393.628,0 392.480,0 389.696 1.265.792 22.378,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.335.219.008 6.000 389.203,0 387.456,0 385.280 1.918.656 33.251,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.369.319.744 6.000 394.886,0 392.608,0 389.536 1.266.464 29.602,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.364.326.144 6.000 394.054,0 392.256,0 388.896 2.482.752 36.528,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.366.305.472 6.000 394.384,0 392.416,0 389.632 3.577.760 47.892,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
3,0 2.362.202.656 6.000 393.700,0 392.240,0 389.472 1.267.680 21.676,0 CUDA_KERNEL cuda_compute_flux_contributions(int, double *, double *, double *, double *, double *)
