1,0 1.421.087.744 2.000 710.543,0 705.728,0 703.616 3.432.832 78.692,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.582.368 2.000 707.791,0 705.664,0 703.744 1.903.968 39.072,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.687.904 2.000 707.844,0 705.760,0 703.776 1.903.392 38.842,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.333.600 2.000 717.166,0 714.848,0 710.336 1.903.104 41.302,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.652.576 2.000 717.326,0 714.528,0 703.520 1.901.632 54.905,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.311.264 2.000 717.155,0 714.560,0 711.328 1.903.232 39.439,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.810.432 2.000 710.405,0 705.824,0 703.744 1.901.952 56.815,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.504.608 2.000 708.752,0 705.920,0 703.520 1.903.296 42.527,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.440.965.504 2.000 720.482,0 714.944,0 711.808 2.188.928 65.424,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.456.000 2.000 719.228,0 714.720,0 711.360 2.213.344 56.908,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.770.688 2.000 717.385,0 714.880,0 710.688 1.902.208 41.684,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.305.888 2.000 717.652,0 714.976,0 711.264 1.901.664 44.135,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.422.144.256 2.000 711.072,0 706.224,0 703.776 1.903.296 58.773,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.416.545.120 2.000 708.272,0 705.856,0 703.776 1.903.616 39.264,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.670.496 2.000 709.335,0 706.048,0 703.520 1.901.984 50.030,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.653.312 2.000 718.826,0 715.040,0 710.272 1.902.016 51.693,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.383.200 2.000 717.191,0 715.168,0 711.296 1.902.304 38.452,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.246.688 2.000 708.623,0 705.984,0 703.808 1.904.320 42.359,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.828.192 2.000 719.414,0 715.264,0 710.272 1.901.824 52.307,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.194.432 2.000 717.597,0 714.784,0 710.688 1.902.752 44.414,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.308.928 2.000 719.154,0 715.104,0 710.528 4.046.752 85.278,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.829.056 2.000 717.414,0 714.816,0 709.984 1.902.976 36.883,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.436.508.096 2.000 718.254,0 715.136,0 710.976 1.903.680 46.953,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.010.016 2.000 708.505,0 705.632,0 703.264 1.902.272 39.521,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.327.264 2.000 717.663,0 714.592,0 709.536 1.902.752 46.829,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.525.280 2.000 707.762,0 705.600,0 703.392 1.903.136 39.120,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.499.456 2.000 716.749,0 714.752,0 710.784 1.903.616 38.463,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.970.176 2.000 707.985,0 705.888,0 703.648 1.902.688 38.800,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.142.880 2.000 718.571,0 715.360,0 711.552 1.901.504 47.095,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.423.556.224 2.000 711.778,0 706.016,0 703.680 1.902.080 53.165,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.873.824 2.000 709.436,0 706.016,0 703.808 1.902.688 47.636,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.642.208 2.000 707.821,0 705.760,0 703.712 1.903.008 36.402,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.438.529.248 2.000 719.264,0 715.136,0 711.136 3.417.856 74.899,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.008.096 2.000 718.504,0 715.072,0 711.200 1.903.008 49.359,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.665.600 2.000 716.832,0 715.168,0 710.880 1.901.760 35.151,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.426.066.624 2.000 713.033,0 705.984,0 703.360 1.902.912 68.788,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.509.952 2.000 709.255,0 705.792,0 703.744 1.902.080 49.948,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.332.672 2.000 717.666,0 715.104,0 711.360 1.902.816 39.296,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.153.920 2.000 716.577,0 714.880,0 710.912 1.902.304 35.124,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.144.000 2.000 718.572,0 715.136,0 711.072 1.903.072 40.888,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.139.808 2.000 717.069,0 715.008,0 711.488 1.901.888 38.519,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.005.120 2.000 709.002,0 705.792,0 703.744 1.902.944 47.700,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.706.624 2.000 708.853,0 705.952,0 703.680 1.902.688 44.885,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.665.344 2.000 717.832,0 715.008,0 711.072 1.902.816 37.491,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.217.472 2.000 708.608,0 705.664,0 703.648 1.902.368 42.869,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.439.778.400 2.000 719.889,0 714.816,0 711.200 1.902.688 60.095,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.749.024 2.000 718.874,0 714.752,0 710.784 1.903.904 52.243,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.811.680 2.000 717.405,0 715.200,0 710.592 1.902.976 42.783,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.415.738.144 2.000 707.869,0 706.016,0 703.808 1.902.048 35.564,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.440.288.832 2.000 720.144,0 715.360,0 711.808 2.219.488 63.324,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.297.440 2.000 717.148,0 715.280,0 711.648 1.903.680 36.890,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.427.416.128 2.000 713.708,0 706.048,0 703.584 2.789.344 75.708,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.229.856 2.000 709.114,0 705.920,0 703.680 1.901.408 45.363,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.421.311.520 2.000 710.655,0 706.080,0 703.520 1.902.528 52.545,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.478.816 2.000 718.739,0 715.296,0 707.616 1.902.304 49.225,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.260.320 2.000 717.630,0 715.168,0 710.624 2.235.872 48.851,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.742.912 2.000 716.871,0 714.928,0 710.656 1.903.872 38.249,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.416.159.680 2.000 708.079,0 705.696,0 703.520 1.903.072 35.713,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.305.248 2.000 717.152,0 714.816,0 710.336 1.901.536 41.398,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.430.336 2.000 708.715,0 706.016,0 703.840 2.608.064 55.192,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.610.144 2.000 716.805,0 714.816,0 710.144 1.901.728 38.206,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.437.562.464 2.000 718.781,0 715.008,0 711.680 1.902.240 51.588,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.420.217.152 2.000 710.108,0 705.856,0 703.552 1.901.920 45.617,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.903.904 2.000 708.952,0 705.888,0 703.680 1.902.656 42.735,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.434.310.976 2.000 717.155,0 714.784,0 711.040 1.901.760 39.311,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.417.315.776 2.000 708.657,0 705.824,0 703.456 1.903.680 42.355,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.418.507.232 2.000 709.253,0 706.080,0 703.424 1.902.144 47.274,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.435.080.064 2.000 717.540,0 714.896,0 710.816 1.903.072 36.942,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.432.845.792 2.000 716.422,0 714.368,0 710.176 1.903.424 38.444,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
1,0 1.433.971.360 2.000 716.985,0 714.528,0 710.784 1.902.496 41.495,0 CUDA_KERNEL cuda_compute_step_factor(int, double *, double *, double *)
