1,0 868.528.288 6.000 144.754,0 143.712,0 142.048 1.205.568 18.174,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.086.464 6.000 144.181,0 143.488,0 141.856 1.633.920 20.885,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.309.856 6.000 144.218,0 143.840,0 142.272 328.896 7.525,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.262.048 6.000 146.210,0 145.728,0 144.224 327.392 8.691,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.179.424 6.000 146.029,0 145.248,0 141.760 331.744 12.598,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.639.424 6.000 146.439,0 145.632,0 144.128 2.048.512 25.813,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.244.736 6.000 144.874,0 143.840,0 142.176 341.728 12.918,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.926.048 6.000 144.321,0 143.776,0 141.952 332.064 8.602,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.052.544 6.000 146.508,0 145.376,0 143.872 330.144 13.195,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.930.304 6.000 146.488,0 145.696,0 144.320 335.840 10.293,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.206.368 6.000 146.034,0 145.472,0 144.096 330.400 9.055,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.387.232 6.000 146.064,0 145.504,0 144.192 331.552 9.290,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.745.920 6.000 145.291,0 144.160,0 142.432 330.880 13.836,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.131.808 6.000 144.188,0 143.712,0 142.016 328.480 8.045,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.033.152 6.000 145.005,0 144.128,0 142.240 1.636.128 21.838,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 880.625.184 6.000 146.770,0 145.856,0 144.192 341.568 12.083,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.001.920 6.000 146.167,0 145.536,0 144.128 1.236.736 16.212,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.913.728 6.000 144.319,0 143.840,0 141.984 329.312 8.679,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 882.139.776 6.000 147.023,0 146.048,0 144.768 328.384 12.038,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.663.680 6.000 146.110,0 145.536,0 144.032 336.896 9.509,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.209.280 6.000 146.201,0 145.568,0 144.096 341.568 9.889,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.883.872 6.000 146.480,0 145.952,0 144.480 326.784 7.390,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.398.496 6.000 146.066,0 145.344,0 143.808 343.392 10.675,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.962.464 6.000 144.327,0 143.744,0 141.888 334.240 8.587,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.052.256 6.000 146.008,0 145.312,0 143.328 329.120 10.529,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.386.368 6.000 144.397,0 143.968,0 142.176 333.856 8.241,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.996.928 6.000 145.666,0 145.280,0 143.936 336.128 7.438,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.343.648 6.000 144.223,0 143.520,0 141.696 2.027.840 25.548,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.290.304 6.000 146.381,0 145.664,0 144.256 325.088 10.572,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.863.232 6.000 145.310,0 144.064,0 142.176 332.128 12.068,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 869.170.400 6.000 144.861,0 144.128,0 142.208 329.184 10.679,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.005.088 6.000 144.500,0 144.096,0 142.528 330.176 7.231,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.520.576 6.000 146.253,0 145.568,0 144.256 347.520 10.175,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 879.301.376 6.000 146.550,0 145.760,0 144.224 334.176 11.465,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.168.672 6.000 146.194,0 145.856,0 144.416 335.776 7.069,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.526.016 6.000 145.587,0 143.936,0 142.016 344.000 16.404,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 868.681.152 6.000 144.780,0 143.584,0 141.792 2.627.168 34.051,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.228.480 6.000 146.204,0 145.696,0 144.224 327.552 7.909,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 873.417.984 6.000 145.569,0 145.216,0 143.808 329.728 7.094,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.679.200 6.000 146.279,0 145.600,0 144.096 331.232 8.199,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.075.936 6.000 146.179,0 145.760,0 144.416 339.712 7.963,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.776.096 6.000 144.629,0 143.936,0 142.208 333.600 10.456,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.963.616 6.000 144.327,0 143.744,0 141.952 326.880 9.674,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.161.376 6.000 146.193,0 145.664,0 144.320 329.792 7.091,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.760.384 6.000 144.460,0 143.904,0 142.240 336.320 8.737,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 887.330.304 6.000 147.888,0 146.016,0 144.608 3.276.576 44.941,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.353.568 6.000 146.392,0 145.440,0 144.032 336.448 11.994,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 874.258.016 6.000 145.709,0 145.376,0 144.000 340.576 7.109,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.549.536 6.000 144.424,0 144.096,0 142.080 327.296 6.703,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.710.432 6.000 146.285,0 145.376,0 143.008 333.408 12.169,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 876.699.584 6.000 146.116,0 145.728,0 144.224 326.240 7.294,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 871.431.712 6.000 145.238,0 143.712,0 141.728 337.600 14.654,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.387.392 6.000 144.397,0 143.744,0 142.048 331.104 9.791,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 870.997.632 6.000 145.166,0 144.160,0 142.240 329.600 12.128,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.356.384 6.000 146.392,0 145.632,0 144.160 326.976 11.003,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.556.000 6.000 145.926,0 145.536,0 144.192 335.712 7.251,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.364.416 6.000 145.894,0 145.504,0 144.096 328.576 7.668,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 865.272.896 6.000 144.212,0 143.744,0 141.760 326.912 7.084,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 877.597.696 6.000 146.266,0 145.728,0 144.224 330.752 8.985,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 867.801.024 6.000 144.633,0 143.840,0 141.888 2.599.456 32.461,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 875.108.576 6.000 145.851,0 145.472,0 143.264 326.304 7.660,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 878.127.520 6.000 146.354,0 145.504,0 143.936 324.160 11.559,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
1,0 866.743.776 6.000 144.457,0 143.552,0 141.664 323.552 10.104,0 CUDA_KERNEL cuda_time_step(int, int, double *, double *, double *, double *)
