      1,0        2.913.952          1   2.913.952,0  2.913.952,0  2.913.952    2.913.952           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          546.688          1     546.688,0    546.688,0    546.688      546.688           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.978.400          1   1.978.400,0  1.978.400,0  1.978.400    1.978.400           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          393.664          1     393.664,0    393.664,0    393.664      393.664           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.975.008          1   1.975.008,0  1.975.008,0  1.975.008    1.975.008           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          409.888          1     409.888,0    409.888,0    409.888      409.888           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.985.376          1   1.985.376,0  1.985.376,0  1.985.376    1.985.376           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          480.000          1     480.000,0    480.000,0    480.000      480.000           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.968.704          1   1.968.704,0  1.968.704,0  1.968.704    1.968.704           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          404.224          1     404.224,0    404.224,0    404.224      404.224           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.667.936          1   2.667.936,0  2.667.936,0  2.667.936    2.667.936           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          480.672          1     480.672,0    480.672,0    480.672      480.672           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2,0        3.961.472          1   3.961.472,0  3.961.472,0  3.961.472    3.961.472           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          544.736          1     544.736,0    544.736,0    544.736      544.736           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.848.704          1   3.848.704,0  3.848.704,0  3.848.704    3.848.704           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          712.160          1     712.160,0    712.160,0    712.160      712.160           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.962.944          1   1.962.944,0  1.962.944,0  1.962.944    1.962.944           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          413.280          1     413.280,0    413.280,0    413.280      413.280           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.906.560          1   2.906.560,0  2.906.560,0  2.906.560    2.906.560           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          526.912          1     526.912,0    526.912,0    526.912      526.912           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.965.952          1   1.965.952,0  1.965.952,0  1.965.952    1.965.952           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          412.448          1     412.448,0    412.448,0    412.448      412.448           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        2.088.576          1   2.088.576,0  2.088.576,0  2.088.576    2.088.576           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          515.840          1     515.840,0    515.840,0    515.840      515.840           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.909.376          1   2.909.376,0  2.909.376,0  2.909.376    2.909.376           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          550.976          1     550.976,0    550.976,0    550.976      550.976           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.437.120          1   2.437.120,0  2.437.120,0  2.437.120    2.437.120           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          470.848          1     470.848,0    470.848,0    470.848      470.848           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.906.848          1   2.906.848,0  2.906.848,0  2.906.848    2.906.848           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          549.504          1     549.504,0    549.504,0    549.504      549.504           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      2,0        3.879.840          1   3.879.840,0  3.879.840,0  3.879.840    3.879.840           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          764.736          1     764.736,0    764.736,0    764.736      764.736           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        3.855.200          1   3.855.200,0  3.855.200,0  3.855.200    3.855.200            0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          755.968          1     755.968,0    755.968,0    755.968      755.968            0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      0,0        1.967.584          1   1.967.584,0  1.967.584,0  1.967.584    1.967.584           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          398.400          1     398.400,0    398.400,0    398.400      398.400           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.360.544          1   2.360.544,0  2.360.544,0  2.360.544    2.360.544           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          448.928          1     448.928,0    448.928,0    448.928      448.928           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        2.346.208          1   2.346.208,0  2.346.208,0  2.346.208    2.346.208           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          481.504          1     481.504,0    481.504,0    481.504      481.504           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      1,0        1.963.264          1   1.963.264,0  1.963.264,0  1.963.264    1.963.264           0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      0,0          400.928          1     400.928,0    400.928,0    400.928      400.928           0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
