1,0 2.913.952 1 2.913.952,0 2.913.952,0 2.913.952 2.913.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 1.978.400 1 1.978.400,0 1.978.400,0 1.978.400 1.978.400 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 1.975.008 1 1.975.008,0 1.975.008,0 1.975.008 1.975.008 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 1.985.376 1 1.985.376,0 1.985.376,0 1.985.376 1.985.376 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 1.968.704 1 1.968.704,0 1.968.704,0 1.968.704 1.968.704 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 2.667.936 1 2.667.936,0 2.667.936,0 2.667.936 2.667.936 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2,0 3.961.472 1 3.961.472,0 3.961.472,0 3.961.472 3.961.472 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 3.848.704 1 3.848.704,0 3.848.704,0 3.848.704 3.848.704 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
0,0 1.962.944 1 1.962.944,0 1.962.944,0 1.962.944 1.962.944 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 2.906.560 1 2.906.560,0 2.906.560,0 2.906.560 2.906.560 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 1.965.952 1 1.965.952,0 1.965.952,0 1.965.952 1.965.952 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
0,0 2.088.576 1 2.088.576,0 2.088.576,0 2.088.576 2.088.576 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1,0 2.909.376 1 2.909.376,0 2.909.376,0 2.909.376 2.909.376 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
