0,0 546.688 1 546.688,0 546.688,0 546.688 546.688 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 393.664 1 393.664,0 393.664,0 393.664 393.664 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 409.888 1 409.888,0 409.888,0 409.888 409.888 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 480.000 1 480.000,0 480.000,0 480.000 480.000 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 404.224 1 404.224,0 404.224,0 404.224 404.224 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 480.672 1 480.672,0 480.672,0 480.672 480.672 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 544.736 1 544.736,0 544.736,0 544.736 544.736 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 712.160 1 712.160,0 712.160,0 712.160 712.160 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 413.280 1 413.280,0 413.280,0 413.280 413.280 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 526.912 1 526.912,0 526.912,0 526.912 526.912 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 412.448 1 412.448,0 412.448,0 412.448 412.448 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 515.840 1 515.840,0 515.840,0 515.840 515.840 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 550.976 1 550.976,0 550.976,0 550.976 550.976 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 470.848 1 470.848,0 470.848,0 470.848 470.848 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 549.504 1 549.504,0 549.504,0 549.504 549.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 764.736 1 764.736,0 764.736,0 764.736 764.736 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 755.968 1 755.968,0 755.968,0 755.968 755.968 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 398.400 1 398.400,0 398.400,0 398.400 398.400 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 448.928 1 448.928,0 448.928,0 448.928 448.928 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 481.504 1 481.504,0 481.504,0 481.504 481.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 400.928 1 400.928,0 400.928,0 400.928 400.928 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 398.656 1 398.656,0 398.656,0 398.656 398.656 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 733.504 1 733.504,0 733.504,0 733.504 733.504 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 413.216 1 413.216,0 413.216,0 413.216 413.216 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 417.184 1 417.184,0 417.184,0 417.184 417.184 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 406.496 1 406.496,0 406.496,0 406.496 406.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 707.008 1 707.008,0 707.008,0 707.008 707.008 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 412.320 1 412.320,0 412.320,0 412.320 412.320 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 761.856 1 761.856,0 761.856,0 761.856 761.856 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 384.320 1 384.320,0 384.320,0 384.320 384.320 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 405.760 1 405.760,0 405.760,0 405.760 405.760 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 547.136 1 547.136,0 547.136,0 547.136 547.136 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 763.584 1 763.584,0 763.584,0 763.584 763.584 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 472.960 1 472.960,0 472.960,0 472.960 472.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 396.832 1 396.832,0 396.832,0 396.832 396.832 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 411.392 1 411.392,0 411.392,0 411.392 411.392 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 740.224 1 740.224,0 740.224,0 740.224 740.224 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 408.768 1 408.768,0 408.768,0 408.768 408.768 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 506.208 1 506.208,0 506.208,0 506.208 506.208 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 402.272 1 402.272,0 402.272,0 402.272 402.272 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 455.648 1 455.648,0 455.648,0 455.648 455.648 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 412.576 1 412.576,0 412.576,0 412.576 412.576 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 409.408 1 409.408,0 409.408,0 409.408 409.408 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 394.144 1 394.144,0 394.144,0 394.144 394.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 544.480 1 544.480,0 544.480,0 544.480 544.480 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 744.640 1 744.640,0 744.640,0 744.640 744.640 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 392.512 1 392.512,0 392.512,0 392.512 392.512 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 477.824 1 477.824,0 477.824,0 477.824 477.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 516.064 1 516.064,0 516.064,0 516.064 516.064 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 395.424 1 395.424,0 395.424,0 395.424 395.424 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 387.872 1 387.872,0 387.872,0 387.872 387.872 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 455.648 1 455.648,0 455.648,0 455.648 455.648 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 396.672 1 396.672,0 396.672,0 396.672 396.672 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 414.240 1 414.240,0 414.240,0 414.240 414.240 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 390.496 1 390.496,0 390.496,0 390.496 390.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 693.824 1 693.824,0 693.824,0 693.824 693.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 396.768 1 396.768,0 396.768,0 396.768 396.768 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 412.192 1 412.192,0 412.192,0 412.192 412.192 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 413.984 1 413.984,0 413.984,0 413.984 413.984 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 706.912 1 706.912,0 706.912,0 706.912 706.912 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 401.472 1 401.472,0 401.472,0 401.472 401.472 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 463.328 1 463.328,0 463.328,0 463.328 463.328 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 402.336 1 402.336,0 402.336,0 402.336 402.336 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 381.952 1 381.952,0 381.952,0 381.952 381.952 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 457.600 1 457.600,0 457.600,0 457.600 457.600 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 392.000 1 392.000,0 392.000,0 392.000 392.000 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 533.920 1 533.920,0 533.920,0 533.920 533.920 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 540.128 1 540.128,0 540.128,0 540.128 540.128 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 404.384 1 404.384,0 404.384,0 404.384 404.384 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 408.960 1 408.960,0 408.960,0 408.960 408.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 510.976 1 510.976,0 510.976,0 510.976 510.976 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 549.024 1 549.024,0 549.024,0 549.024 549.024 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 392.832 1 392.832,0 392.832,0 392.832 392.832 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 541.792 1 541.792,0 541.792,0 541.792 541.792 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 484.704 1 484.704,0 484.704,0 484.704 484.704 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 412.256 1 412.256,0 412.256,0 412.256 412.256 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 398.784 1 398.784,0 398.784,0 398.784 398.784 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 505.184 1 505.184,0 505.184,0 505.184 505.184 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 397.984 1 397.984,0 397.984,0 397.984 397.984 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 540.000 1 540.000,0 540.000,0 540.000 540.000 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 510.368 1 510.368,0 510.368,0 510.368 510.368 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 494.688 1 494.688,0 494.688,0 494.688 494.688 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 403.328 1 403.328,0 403.328,0 403.328 403.328 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 588.864 1 588.864,0 588.864,0 588.864 588.864 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 392.800 1 392.800,0 392.800,0 392.800 392.800 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 740.992 1 740.992,0 740.992,0 740.992 740.992 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
0,0 381.216 1 381.216,0 381.216,0 381.216 381.216 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
