     19,0        2.426.272          1  2.426.272,0  2.426.272,0  2.426.272  2.426.272          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          493.568          1    493.568,0    493.568,0    493.568    493.568          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     20,0        3.869.792          1  3.869.792,0  3.869.792,0  3.869.792  3.869.792          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          785.472          1    785.472,0    785.472,0    785.472    785.472          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        6.203.936          1  6.203.936,0  6.203.936,0  6.203.936  6.203.936          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          776.896          1    776.896,0    776.896,0    776.896    776.896          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     23,0        2.894.528          1  2.894.528,0  2.894.528,0  2.894.528  2.894.528          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          557.600          1    557.600,0    557.600,0    557.600    557.600          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        2.902.592          1  2.902.592,0  2.902.592,0  2.902.592  2.902.592          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          558.496          1    558.496,0    558.496,0    558.496    558.496          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     24,0        4.052.448          1  4.052.448,0  4.052.448,0  4.052.448  4.052.448          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          557.632          1    557.632,0    557.632,0    557.632    557.632          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     16,0        2.914.688          1  2.914.688,0  2.914.688,0  2.914.688  2.914.688          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          549.056          1    549.056,0    549.056,0    549.056    549.056          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
      9,0        2.357.568          1   2.357.568,0   2.357.568,0   2.357.568   2.357.568          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      1,0          466.880          1     466.880,0     466.880,0     466.880     466.880          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     19,0        1.965.056          1  1.965.056,0  1.965.056,0  1.965.056  1.965.056          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          414.304          1    414.304,0    414.304,0    414.304    414.304          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     32,0        6.214.240          1  6.214.240,0  6.214.240,0  6.214.240  6.214.240          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          557.824          1    557.824,0    557.824,0    557.824    557.824          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.929.184          1  2.929.184,0  2.929.184,0  2.929.184  2.929.184          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          554.336          1    554.336,0    554.336,0    554.336    554.336          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     17,0        2.903.232          1  2.903.232,0  2.903.232,0  2.903.232  2.903.232          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          550.656          1    550.656,0    550.656,0    550.656    550.656          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     10,0        1.957.408          1  1.957.408,0  1.957.408,0  1.957.408  1.957.408          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      2,0          408.352          1    408.352,0    408.352,0    408.352    408.352          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     22,0        2.894.016          1  2.894.016,0  2.894.016,0  2.894.016  2.894.016          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      4,0          554.656          1    554.656,0    554.656,0    554.656    554.656          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
     15,0        1.984.032          1  1.984.032,0  1.984.032,0  1.984.032  1.984.032          0,0  CUDA_KERNEL  bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
      3,0          514.112          1    514.112,0    514.112,0    514.112    514.112          0,0  CUDA_KERNEL  bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)  
