19,0 2.426.272 1 2.426.272,0 2.426.272,0 2.426.272 2.426.272 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 3.869.792 1 3.869.792,0 3.869.792,0 3.869.792 3.869.792 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 6.203.936 1 6.203.936,0 6.203.936,0 6.203.936 6.203.936 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 2.894.528 1 2.894.528,0 2.894.528,0 2.894.528 2.894.528 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 2.902.592 1 2.902.592,0 2.902.592,0 2.902.592 2.902.592 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
24,0 4.052.448 1 4.052.448,0 4.052.448,0 4.052.448 4.052.448 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 2.914.688 1 2.914.688,0 2.914.688,0 2.914.688 2.914.688 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
9,0 2.357.568 1 2.357.568,0 2.357.568,0 2.357.568 2.357.568 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.965.056 1 1.965.056,0 1.965.056,0 1.965.056 1.965.056 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
32,0 6.214.240 1 6.214.240,0 6.214.240,0 6.214.240 6.214.240 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.929.184 1 2.929.184,0 2.929.184,0 2.929.184 2.929.184 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 2.903.232 1 2.903.232,0 2.903.232,0 2.903.232 2.903.232 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
10,0 1.957.408 1 1.957.408,0 1.957.408,0 1.957.408 1.957.408 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.894.016 1 2.894.016,0 2.894.016,0 2.894.016 2.894.016 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.984.032 1 1.984.032,0 1.984.032,0 1.984.032 1.984.032 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 1.973.664 1 1.973.664,0 1.973.664,0 1.973.664 1.973.664 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.972.896 1 1.972.896,0 1.972.896,0 1.972.896 1.972.896 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.950.400 1 1.950.400,0 1.950.400,0 1.950.400 1.950.400 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.956.096 1 1.956.096,0 1.956.096,0 1.956.096 1.956.096 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.965.088 1 1.965.088,0 1.965.088,0 1.965.088 1.965.088 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.971.328 1 1.971.328,0 1.971.328,0 1.971.328 1.971.328 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 3.893.568 1 3.893.568,0 3.893.568,0 3.893.568 3.893.568 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
25,0 6.127.264 1 6.127.264,0 6.127.264,0 6.127.264 6.127.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 3.912.800 1 3.912.800,0 3.912.800,0 3.912.800 3.912.800 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.965.600 1 1.965.600,0 1.965.600,0 1.965.600 1.965.600 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.993.088 1 1.993.088,0 1.993.088,0 1.993.088 1.993.088 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.977.184 1 1.977.184,0 1.977.184,0 1.977.184 1.977.184 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 2.367.424 1 2.367.424,0 2.367.424,0 2.367.424 2.367.424 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
12,0 1.942.848 1 1.942.848,0 1.942.848,0 1.942.848 1.942.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.369.504 1 2.369.504,0 2.369.504,0 2.369.504 2.369.504 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
28,0 2.908.544 1 2.908.544,0 2.908.544,0 2.908.544 2.908.544 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
8,0 2.332.832 1 2.332.832,0 2.332.832,0 2.332.832 2.332.832 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
17,0 2.883.296 1 2.883.296,0 2.883.296,0 2.883.296 2.883.296 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 3.887.392 1 3.887.392,0 3.887.392,0 3.887.392 3.887.392 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 1.969.312 1 1.969.312,0 1.969.312,0 1.969.312 1.969.312 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.972.160 1 1.972.160,0 1.972.160,0 1.972.160 1.972.160 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.971.904 1 1.971.904,0 1.971.904,0 1.971.904 1.971.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.525.792 1 2.525.792,0 2.525.792,0 2.525.792 2.525.792 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
27,0 6.741.536 1 6.741.536,0 6.741.536,0 6.741.536 6.741.536 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 2.460.064 1 2.460.064,0 2.460.064,0 2.460.064 2.460.064 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 2.099.520 1 2.099.520,0 2.099.520,0 2.099.520 2.099.520 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 2.897.376 1 2.897.376,0 2.897.376,0 2.897.376 2.897.376 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 5.436.512 1 5.436.512,0 5.436.512,0 5.436.512 5.436.512 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
15,0 3.850.848 1 3.850.848,0 3.850.848,0 3.850.848 3.850.848 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
14,0 1.977.440 1 1.977.440,0 1.977.440,0 1.977.440 1.977.440 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.962.304 1 1.962.304,0 1.962.304,0 1.962.304 1.962.304 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.968.768 1 1.968.768,0 1.968.768,0 1.968.768 1.968.768 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.977.088 1 1.977.088,0 1.977.088,0 1.977.088 1.977.088 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.966.496 1 1.966.496,0 1.966.496,0 1.966.496 1.966.496 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
21,0 2.909.824 1 2.909.824,0 2.909.824,0 2.909.824 2.909.824 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
23,0 4.528.128 1 4.528.128,0 4.528.128,0 4.528.128 4.528.128 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
22,0 3.859.264 1 3.859.264,0 3.859.264,0 3.859.264 3.859.264 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
20,0 1.976.800 1 1.976.800,0 1.976.800,0 1.976.800 1.976.800 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
16,0 1.979.744 1 1.979.744,0 1.979.744,0 1.979.744 1.979.744 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
18,0 1.971.904 1 1.971.904,0 1.971.904,0 1.971.904 1.971.904 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
19,0 1.964.224 1 1.964.224,0 1.964.224,0 1.964.224 1.964.224 0,0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
