4,0 493.568 1 493.568,0 493.568,0 493.568 493.568 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 785.472 1 785.472,0 785.472,0 785.472 785.472 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 776.896 1 776.896,0 776.896,0 776.896 776.896 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 557.600 1 557.600,0 557.600,0 557.600 557.600 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 558.496 1 558.496,0 558.496,0 558.496 558.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 557.632 1 557.632,0 557.632,0 557.632 557.632 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 549.056 1 549.056,0 549.056,0 549.056 549.056 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 466.880 1 466.880,0 466.880,0 466.880 466.880 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 414.304 1 414.304,0 414.304,0 414.304 414.304 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 557.824 1 557.824,0 557.824,0 557.824 557.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 554.336 1 554.336,0 554.336,0 554.336 554.336 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 550.656 1 550.656,0 550.656,0 550.656 550.656 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 408.352 1 408.352,0 408.352,0 408.352 408.352 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 554.656 1 554.656,0 554.656,0 554.656 554.656 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 514.112 1 514.112,0 514.112,0 514.112 514.112 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 410.752 1 410.752,0 410.752,0 410.752 410.752 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 412.736 1 412.736,0 412.736,0 412.736 412.736 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 416.864 1 416.864,0 416.864,0 416.864 416.864 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 419.776 1 419.776,0 419.776,0 419.776 419.776 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 412.256 1 412.256,0 412.256,0 412.256 412.256 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 420.640 1 420.640,0 420.640,0 420.640 420.640 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 778.752 1 778.752,0 778.752,0 778.752 778.752 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 769.888 1 769.888,0 769.888,0 769.888 769.888 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 773.856 1 773.856,0 773.856,0 773.856 773.856 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 412.960 1 412.960,0 412.960,0 412.960 412.960 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 411.424 1 411.424,0 411.424,0 411.424 411.424 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 414.432 1 414.432,0 414.432,0 414.432 414.432 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 482.816 1 482.816,0 482.816,0 482.816 482.816 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 505.216 1 505.216,0 505.216,0 505.216 505.216 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 469.376 1 469.376,0 469.376,0 469.376 469.376 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
5,0 560.896 1 560.896,0 560.896,0 560.896 560.896 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
1,0 470.048 1 470.048,0 470.048,0 470.048 470.048 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 507.776 1 507.776,0 507.776,0 507.776 507.776 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 770.752 1 770.752,0 770.752,0 770.752 770.752 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 412.224 1 412.224,0 412.224,0 412.224 412.224 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 416.704 1 416.704,0 416.704,0 416.704 416.704 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 415.552 1 415.552,0 415.552,0 415.552 415.552 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 501.632 1 501.632,0 501.632,0 501.632 501.632 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 774.336 1 774.336,0 774.336,0 774.336 774.336 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 482.144 1 482.144,0 482.144,0 482.144 482.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 438.944 1 438.944,0 438.944,0 438.944 438.944 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 551.904 1 551.904,0 551.904,0 551.904 551.904 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 778.496 1 778.496,0 778.496,0 778.496 778.496 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 769.024 1 769.024,0 769.024,0 769.024 769.024 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 413.824 1 413.824,0 413.824,0 413.824 413.824 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 414.688 1 414.688,0 414.688,0 414.688 414.688 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 415.968 1 415.968,0 415.968,0 415.968 415.968 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 416.000 1 416.000,0 416.000,0 416.000 416.000 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 416.544 1 416.544,0 416.544,0 416.544 416.544 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 549.120 1 549.120,0 549.120,0 549.120 549.120 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
2,0 548.416 1 548.416,0 548.416,0 548.416 548.416 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 777.856 1 777.856,0 777.856,0 777.856 777.856 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 419.520 1 419.520,0 419.520,0 419.520 419.520 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 413.536 1 413.536,0 413.536,0 413.536 413.536 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 409.984 1 409.984,0 409.984,0 409.984 409.984 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 413.728 1 413.728,0 413.728,0 413.728 413.728 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 550.912 1 550.912,0 550.912,0 550.912 550.912 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
6,0 550.144 1 550.144,0 550.144,0 550.144 550.144 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 410.880 1 410.880,0 410.880,0 410.880 410.880 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 414.048 1 414.048,0 414.048,0 414.048 414.048 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 552.160 1 552.160,0 552.160,0 552.160 552.160 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 421.568 1 421.568,0 421.568,0 421.568 421.568 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 412.352 1 412.352,0 412.352,0 412.352 412.352 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 415.872 1 415.872,0 415.872,0 415.872 415.872 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
3,0 469.664 1 469.664,0 469.664,0 469.664 469.664 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 505.152 1 505.152,0 505.152,0 505.152 505.152 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
4,0 417.952 1 417.952,0 417.952,0 417.952 417.952 0,0 CUDA_KERNEL bpnn_layerforward_CUDA(float *, float *, float *, float *, int, int)
