1.4 2355936 1 2355936.0 2355936.0 2355936 2355936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.8 5786784 1 5786784.0 5786784.0 5786784 5786784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3870688 1 3870688.0 3870688.0 3870688 3870688 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3889920 1 3889920.0 3889920.0 3889920 3889920 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878144 1 3878144.0 3878144.0 3878144 3878144 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3866240 1 3866240.0 3866240.0 3866240 3866240 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878496 1 3878496.0 3878496.0 3878496 3878496 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869408 1 3869408.0 3869408.0 3869408 3869408 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
4.0 7266560 1 7266560.0 7266560.0 7266560 7266560 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3890944 1 3890944.0 3890944.0 3890944 3890944 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.2 5788736 1 5788736.0 5788736.0 5788736 5788736 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3879296 1 3879296.0 3879296.0 3879296 3879296 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3848384 1 3848384.0 3848384.0 3848384 3848384 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3845056 1 3845056.0 3845056.0 3845056 3845056 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3886144 1 3886144.0 3886144.0 3886144 3886144 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3891936 1 3891936.0 3891936.0 3891936 3891936 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3864096 1 3864096.0 3864096.0 3864096 3864096 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3874912 1 3874912.0 3874912.0 3874912 3874912 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.2 1980512 1 1980512.0 1980512.0 1980512 1980512 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3855648 1 3855648.0 3855648.0 3855648 3855648 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3905216 1 3905216.0 3905216.0 3905216 3905216 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3827488 1 3827488.0 3827488.0 3827488 3827488 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3883200 1 3883200.0 3883200.0 3883200 3883200 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3870368 1 3870368.0 3870368.0 3870368 3870368 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3871968 1 3871968.0 3871968.0 3871968 3871968 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3890144 1 3890144.0 3890144.0 3890144 3890144 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3869344 1 3869344.0 3869344.0 3869344 3869344 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3886784 1 3886784.0 3886784.0 3886784 3886784 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
3.1 5772832 1 5772832.0 5772832.0 5772832 5772832 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3871744 1 3871744.0 3871744.0 3871744 3871744 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3921184 1 3921184.0 3921184.0 3921184 3921184 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3878304 1 3878304.0 3878304.0 3878304 3878304 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3853568 1 3853568.0 3853568.0 3853568 3853568 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3833728 1 3833728.0 3833728.0 3833728 3833728 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
1.7 2897664 1 2897664.0 2897664.0 2897664 2897664 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.2 3864224 1 3864224.0 3864224.0 3864224 3864224 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
2.1 3854208 1 3854208.0 3854208.0 3854208 3854208 0.0 CUDA_KERNEL bpnn_adjust_weights_cuda(float *, int, float *, int, float *, float *)
